ticker,date,title,distributor,gross,percent_yd,percent_lw,theaters,per_theater,total_gross,days_in_release,parent company,release_date,year,title_key,weekday,release_month,release_weekday,is_weekend,average_theaters,average_gross,average_gross_per_theaters,avg_gross_monday,avg_gross_tuesday,avg_gross_wednesday,avg_gross_thursday,avg_gross_friday,avg_gross_saturday,avg_gross_sunday,avg_gross_weekend,avg_gross_weekday,tmdb_id,popularity,imdb_id,original_language,status,budget,revenue,adult,overview,runtime,vote_average,vote_count,origin_country,spoken_languages,genre_ids,genre_names,production_company_ids,production_company_names,belongs_to_collection,gross_per_theater
PARA,2016-06-02,10 Cloverfield Lane,Paramount Pi…,11414,0.32,-0.12,120.0,95.0,72082999,84,Paramount Global,2016-03-10,2016,10 cloverfield lane,3,3,3,0,1378.0941176470587,869211.7529411765,52306.29612081477,410377.5833333333,484828.0,362675.5,440960.3076923077,1473445.25,1834275.6666666667,1113607.5833333333,1473776.1666666667,425041.9795918368,333371,7.8372,tt1179933,en,Released,15000000.0,110216998.0,False,"After a catastrophic car crash, a young woman wakes up in a survivalist's underground bunker, where he claims to have saved her from an apocalyptic attack that has left the outside world uninhabitable.",104.0,7.0,8351.0,US,English,"53, 878, 18, 27","Thriller, Science Fiction, Drama, Horror",11461,Bad Robot,,600691.6583333333
Private,2006-09-04,10th & Wolf,ThinkFilm,1791,0.0,0.0,6.0,299.0,49783,18,Capitol Films,2006-08-17,2006,10th & wolf,0,8,3,0,6.0,1791.0,8297.166666666666,1791.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1791.0,13197,3.6557,tt0360323,en,Released,8000000.0,143451.0,False,"A former street thug returns to his Philadelphia home after a stint in the military. Back on his home turf, he once again finds himself tangling with the mob boss who was instrumental in his going off to be a soldier.",107.0,5.856,108.0,US,English,"28, 80, 18, 9648, 53","Action, Crime, Drama, Mystery, Thriller",41427,Suzanne DeLaurentiis Productions,,8297.166666666666
DIS,2009-05-25,12 Rounds,20th Century…,4832,0.0,0.98,29.0,167.0,12187944,60,The Walt Disney Company,2009-03-26,2009,12 rounds,0,3,3,0,812.2631578947369,212240.70175438595,15004.920365450656,75382.0,98180.875,84316.25,87284.375,407820.75,469591.875,280216.125,385876.25,85960.30303030302,17134,4.832,tt1160368,en,Released,22000000.0,17280326.0,False,"When New Orleans Police Detective Danny Fisher stops a brilliant thief from getting away with a multimillion-dollar heist, the thief's girlfriend is accidentally killed. After escaping from prison, the criminal mastermind enacts his revenge, taunting Danny with 12 rounds of near-impossible puzzles and tasks that he must somehow complete to save the life of the woman he loves.",108.0,5.904,819.0,US,English,"28, 53, 80","Action, Thriller, Crime","1557, 17887, 2890, 10339","The Mark Gordon Company, Midnight Sun Pictures, Fox Atomic, WWE Studios",12 Rounds Collection,420273.9310344828
WBD,2018-03-29,12 Strong,Warner Bros.,4502,0.08,-0.45,95.0,47.0,45500164,70,Warner Bros. Entertainment Inc.,2018-01-18,2018,12 strong,3,1,3,0,1253.394366197183,653523.4366197183,36301.55458417144,287250.6,379838.5,281256.7,299688.9090909091,1057818.7,1518290.9,785903.2,1120670.933333333,311708.1951219512,429351,6.5749,tt1413492,en,Released,35000000.0,67450815.0,False,A team of special forces head into Afghanistan in the aftermath of the September 11th attacks in an attempt to dismantle the Taliban.,130.0,6.3,3093.0,US,English,"10752, 18, 28, 36","War, Drama, Action, History","79529, 1088, 33681, 130, 101829","Torridon Films, Alcon Entertainment, Black Label Media, Jerry Bruckheimer Films, 16:14 Entertainment",,478949.0947368421
SONY,2004-06-03,13 Going On 30,Sony Pictures,115000,0.01,-0.59,1164.0,99.0,54901000,42,Sony Corporation,2004-04-22,2004,13 going on 30,3,4,3,0,2626.119047619048,1314798.4047619049,20905.754462950037,499138.6666666667,461833.3333333333,393333.3333333333,389166.6666666667,2483333.333333333,3087716.1666666665,1889067.3333333333,2486705.611111111,435868.0,10096,9.9911,tt0337563,en,Released,37000000.0,96500000.0,False,"After total humiliation at her thirteenth birthday party, Jenna Rink wants to just hide until she's thirty. Thanks to some magic wishing dust, Jenna's prayer has been answered. With a knockout body, a fabulous wardrobe, an athlete boyfriend, a dream job, and superstar friends, this can't be a better life. But soon Jenna realizes that adult life isn’t as easy as she hoped for.",98.0,6.8,5385.0,US,English,"35, 14, 10749","Comedy, Fantasy, Romance","497, 19636","Revolution Studios, Thirteen Productions",,47165.80756013746
AMZN,2007-09-03,1408,MGM,38250,0.0,0.0,218.0,175.0,71519946,74,"Amazon.com, Inc.",2007-06-21,2007,1408,0,6,3,0,2289.3611111111118,1911403.0555555555,31240.133176407777,1080696.6666666667,1163785.2,1079948.4,1036500.4,3229999.4,3393589.8,2561442.8,3061677.333333333,1089778.5714285714,3021,7.4054,tt0450385,en,Released,25000000.0,133000000.0,False,"A man who specializes in debunking paranormal occurrences checks into the fabled room 1408 in the Dolphin Hotel. Soon after settling in, he confronts genuine terror.",104.0,6.695,4680.0,US,English,"27, 9648","Horror, Mystery","7405, 435","Dimension Films, di Bonaventura Pictures",,328073.1467889908
WBD,2001-04-05,15 Minutes,New Line,89000,-0.04,-0.56,936.0,95.0,23917000,28,Warner Bros. Discovery,2001-03-08,2001,15 minutes,3,3,3,0,1977.625,932448.7083333334,12093.799380570128,407309.25,452061.75,378606.25,332465.0,2260500.0,3287500.0,1250250.0,2012125.0,392610.5625,2749,3.8044,tt0179626,en,Released,60000000.0,56359980.0,False,"When Eastern European criminals Oleg and Emil come to New York City to pick up their share of a heist score, Oleg steals a video camera and starts filming their activities, both legal and illegal. When they learn how the American media circus can make a remorseless killer look like the victim and make them rich, they target media-savvy NYPD Homicide Detective Eddie Flemming and media-naive FDNY Fire Marshal Jordy Warsaw, the cops investigating their murder and torching of their former criminal partner, filming everything to sell to the local tabloid TV show ""Top Story.""",120.0,5.9,768.0,US,"Russian, English, Czech, Greek","28, 80, 53","Action, Crime, Thriller","376, 11391, 67171","Industry Entertainment Partners, Tribeca Productions, New Redemption Pictures",,25552.350427350426
WBD,2006-03-30,16 Blocks,Warner Bros.,214226,0.06,-0.49,2066.0,104.0,34819264,28,Warner Bros. Entertainment Inc.,2006-03-02,2006,16 blocks,3,3,3,0,2536.0,1243679.142857143,13729.993690851736,542310.5,559349.25,527049.0,531628.5,1962232.25,2885784.25,1697400.25,2181805.583333333,540084.3125,2207,4.0025,tt0450232,en,Released,55000000.0,65664721.0,False,"An aging cop is assigned the ordinary task of escorting a fast-talking witness from police custody to a courthouse, but they find themselves running the gauntlet as other forces try to prevent them from getting there.",105.0,6.4,2017.0,US,English,"28, 12, 80, 53","Action, Adventure, Crime, Thriller","1088, 890, 10886, 431, 1020, 925, 1420, 263342, 214742","Alcon Entertainment, Cheyenne Enterprises, 16 Block Productions, The Donners' Company, Millennium Media, Nu Image, ContentFilm, Equity Pictures Medienfonds III, Emmett/Furla Films",,16853.46757018393
WBD,2009-08-06,17 Again,Warner Bros.,3942,-0.1,-0.59,27.0,146.0,64167069,112,Warner Bros. Entertainment Inc.,2009-04-16,2009,17 again,3,4,3,0,1143.1517857142858,572920.2589285715,56131.71391750564,194344.4375,201509.0625,174386.875,179147.5,1152989.9375,1331993.6875,776070.3125,1087017.9791666667,187346.96875,16996,7.4565,tt0974661,en,Released,20000000.0,136300000.0,False,"On the brink of a midlife crisis, 30-something Mike O'Donnell wishes he could have a ""do-over."" And that's exactly what he gets when he wakes up one morning to find he's 17 years old again. With his adult mind stuck inside the body of a teenager, Mike actually has the chance to reverse some decisions he wishes he'd never made. But maybe they weren't so bad after all.",102.0,6.313,5299.0,US,English,"35, 14, 18, 10749","Comedy, Fantasy, Drama, Romance","12, 2378","New Line Cinema, Offspring Entertainment",,2376558.111111111
CMCSA,2020-03-19,1917,Universal,225,-0.7,-1.0,766.0,0.0,159227644,86,Comcast Corporation,2019-12-24,2020,1917,3,12,1,0,2357.425287356322,1867559.1264367816,67543.02876701643,1108690.5,1234134.4166666667,781188.7692307692,905989.1428571428,2872422.5,3973649.6666666665,2447631.4166666665,3097901.1944444445,999082.3725490196,530915,11.3422,tt8579674,en,Released,100000000.0,446064352.0,False,"At the height of the First World War, two young British soldiers must cross enemy territory and deliver a message that will stop a deadly attack on hundreds of soldiers.",119.0,7.986,13078.0,US,"English, French, German","10752, 36, 18, 28","War, History, Drama, Action","7, 7294, 114732, 1522, 103476","DreamWorks Pictures, Reliance Entertainment, New Republic Pictures, Neal Street Productions, Mogambo Films",,207868.98694516972
LGF.A,2024-09-19,1992,Lionsgate,7249,-0.21,-0.76,159.0,46.0,2906073,21,Lionsgate,2024-08-29,2024,1992,3,8,3,0,636.3333333333334,124472.61111111112,4566.903614457831,141861.66666666666,85528.66666666667,55580.333333333336,35865.0,0.0,238833.3333333333,189166.66666666663,214000.0,79708.91666666667,413846,4.6652,tt4959750,en,Released,6500000.0,2900000.0,False,"In 1992, Mercer is desperately trying to rebuild his life and his relationship with his son amidst the turbulent Los Angeles uprising following the Rodney King verdict. Across town, another father and son put their own strained relationship to the test as they plot a dangerous heist to steal catalytic converters, which contain valuable platinum from the factory where Mercer works. As tensions rise and chaos erupts, both families reach their boiling points when their worlds collide.",96.0,6.887,181.0,US,English,"80, 53, 28","Crime, Thriller, Action","68554, 179870, 99639, 1632","Trident Films, Death Row Pictures, Sumatra Films, Lionsgate",,18277.188679245282
ORN,2007-09-03,2 Days in Paris,Samuel Goldw…,173789,0.0,0.0,112.0,1552.0,1966340,25,Orion Pictures Corporation,2007-08-09,2007,2 days in paris,0,8,3,0,112.0,173789.0,17556.60714285714,173789.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,173789.0,1845,2.224,tt0841044,en,Released,0.0,19776159.0,False,"Marion and Jack try to rekindle their relationship with a visit to Paris, home of Marion's parents — and several of her ex-boyfriends.",96.0,6.239,402.0,US,"German, French, English","35, 10749","Comedy, Romance","702, 764, 765, 30231","3L Filmproduktion, Polaris Film Productions, Tempête Sous Un Crâne Productions, Rezo Productions",2 Days In... Collection,17556.60714285714
CMCSA,2003-07-08,2 Fast 2 Furious,Universal,444000,0.0,-0.44,1779.0,250.0,120325965,33,Comcast Corporation,2003-06-05,2003,2 fast 2 furious,1,6,3,0,2952.46875,3741870.9375,40754.3568412028,1776200.0,1695200.0,2126333.333333333,1734500.0,6395388.0,6802533.0,4615253.0,5937724.666666667,1804352.9411764704,584,1.7476,tt0322259,en,Released,76000000.0,236350661.0,False,"It's a major double-cross when former police officer Brian O'Conner teams up with his ex-con buddy Roman Pearce to transport a shipment of ""dirty"" money for shady Miami-based import-export dealer Carter Verone. But the guys are actually working with undercover agent Monica Fuentes to bring Verone down.",107.0,6.51,7861.0,US,"English, Spanish","28, 80, 53","Action, Crime, Thriller","26281, 24, 333, 33","Ardustry Entertainment, Mikona Productions, Original Film, Universal Pictures",The Fast and the Furious Collection,67636.8549747049
CMCSA,2013-10-24,2 Guns,Universal,9515,0.01,-0.23,135.0,70.0,75612460,85,Comcast Corporation,2013-07-31,2013,2 guns,3,7,2,0,1276.8823529411766,904852.4705882352,59216.46565623992,525198.75,545979.5833333334,394145.4166666667,435318.4615384616,1478962.5,1746270.8333333333,1247219.5833333333,1490817.638888889,474347.44897959183,136400,8.8622,tt1272878,en,Released,61000000.0,131940411.0,False,A DEA agent and an undercover Naval Intelligence officer who have been tasked with investigating one another find they have been set up by the mob -- the very organization the two men believe they have been stealing money from.,109.0,6.536,4334.0,US,"Spanish, English","28, 35, 80","Action, Comedy, Crime","33, 2527, 10405, 11030, 21897, 20410, 6666, 122178, 158613","Universal Pictures, Marc Platt Productions, EFO Films, Envision Entertainment, Foresight Unlimited, Oasis Entertainment, Herrick Entertainment, BOOM! Studios, Empyre Media Capital",,560092.2962962963
Private,2020-12-09,2 Hearts,Freestyle Re…,44,-0.08,-0.74,5.0,9.0,1349284,55,"Entertainment Studios, Inc",2020-10-15,2020,2 hearts,2,10,3,0,614.2545454545455,24532.436363636363,2196.6202936301206,8171.125,13875.125,9072.5,9632.42857142857,46599.0,52392.25,30122.125,43037.79166666666,10205.709677419354,710356,5.3632,tt5616176,en,Released,0.0,0.0,False,"When illness strikes two people who are polar opposites, life and death bring them together in surprising ways.",102.0,7.28,620.0,US,English,"10749, 18","Romance, Drama",11601,Silver Lion Films,,269856.8
PARA,1999-03-11,200 Cigarettes,Paramount Pi…,107129,0.04,-0.46,978.0,110.0,5737017,14,Paramount Global,1999-02-25,1999,200 cigarettes,3,2,3,0,976.8571428571428,409325.5714285714,5872.933460076046,160984.0,179623.5,138794.5,152580.5,762296.5,900000.0,571000.0,744432.1666666666,157995.625,15256,2.5326,tt0137338,en,Released,6000000.0,6852450.0,False,"In 1981 New York City, a collection of twentysomethings try to cope with relationships, loneliness, desire and their individual neuroses on New Years Eve.",101.0,5.803,175.0,US,English,"35, 18, 10749","Comedy, Drama, Romance","4, 746, 126, 17422","Paramount Pictures, MTV Films, Lakeshore Entertainment, Dogstar Films",,5866.070552147239
SONY,2010-02-21,2012,Sony Pictures,23176,-0.39,-0.56,131.0,177.0,166112167,101,Sony Corporation,2009-11-12,2010,2012,6,11,3,1,1864.772151898734,2097931.3924050634,89079.06889904085,1010405.1,1263254.5,1205479.75,1176921.125,2904547.8666666667,3346050.8666666667,2180553.6666666665,2810384.1333333333,1154979.2352941176,14161,10.8098,tt1190080,en,Released,200000000.0,791217826.0,False,"Dr. Adrian Helmsley, part of a worldwide geophysical team investigating the effect on the earth of radiation from unprecedented solar storms, learns that the earth's core is heating up. He warns U.S. President Thomas Wilson that the crust of the earth is becoming unstable and that without proper preparations for saving a fraction of the world's population, the entire race is doomed. Meanwhile, writer Jackson Curtis stumbles on the same information. While the world's leaders race to build ""arks"" to escape the impending cataclysm, Curtis struggles to find a way to save his family. Meanwhile, volcanic eruptions and earthquakes of unprecedented strength wreak havoc around the world.",158.0,5.863,12386.0,US,"Russian, Hindi, German, Italian, Latin, French, Mandarin, English, Portuguese, Tibetan, Spanish","28, 12, 878","Action, Adventure, Science Fiction","5, 347, 10905, 1557","Columbia Pictures, Centropolis Entertainment, Farewell Productions, The Mark Gordon Company",,1268031.8091603054
Private,2025-01-02,2073,Neon,582,-0.07,0.0,2.0,291.0,7125,7,30WEST,2024-12-26,2025,2073,3,12,3,0,2.0,566.3333333333334,3562.5,0.0,0.0,0.0,582.0,0.0,617.0,500.0,558.5,582.0,1023915,3.0819,tt22042346,en,Released,0.0,7125.0,False,"Inspired by Chris Marker's iconic 1962 featurette La Jetée; the year is 2073—a not-so-distant dystopian future—and the setting is New San Francisco, the scorched-earth tech-dominant police state where democracy and personal freedom have been well and truly obliterated.",83.0,6.888,85.0,GB,English,"53, 878","Thriller, Science Fiction","90733, 6705, 195117, 229009, 238024","NEON, Film4 Productions, Double Agent, Lafcadia Productions, Sheep Thief Films",,3562.5
Private,2017-05-04,20th Century Women,A24,186,1.95,-0.74,3.0,62.0,5664763,131,A24,2016-12-24,2017,20th century women,3,12,5,0,112.171875,44255.96875,50500.74272182756,26488.777777777777,26982.11111111111,25870.36842105263,24156.105263157893,58510.444444444445,88555.05555555556,61367.0,69477.5,25851.067567567567,342737,3.326,tt4385888,en,Released,7000000.0,5664764.0,False,"In 1979 Santa Barbara, California, Dorothea Fields is a determined single mother in her mid-50s who is raising her adolescent son, Jamie, at a moment brimming with cultural change and rebellion. Dorothea enlists the help of two younger women – Abbie, a free-spirited punk artist living as a boarder in the Fields' home and Julie, a savvy and provocative teenage neighbour – to help with Jamie's upbringing.",118.0,7.309,1199.0,US,English,18,Drama,"13184, 41640, 86356","Annapurna Pictures, Archer Gray, Modern People",,1888254.3333333333
SONY,2008-05-18,21,Sony Pictures,116338,-0.34,-0.5,462.0,252.0,81159365,52,Sony Corporation,2008-03-27,2008,21,6,3,3,1,2323.596153846154,1560757.0192307692,34928.343664909335,682600.8571428572,689203.8571428572,623929.1428571428,638543.5714285715,2659670.375,3259807.75,1920449.75,2613309.2916666665,658569.3571428572,8065,7.1789,tt0478087,en,Released,35000000.0,159808370.0,False,"Ben Campbell is a young, highly intelligent student at M.I.T. who strives to succeed. Wanting a scholarship to transfer to Harvard School of Medicine to become a doctor, Ben learns that he cannot afford the $300,000 tuition as he comes from a poor, working-class background. But one evening, Ben is introduced by his unorthodox math professor to a small but secretive club of five students, Jill, Choi, Kianna, and Fisher, who are being trained by Professor Rosa to count cards at blackjack.",123.0,6.695,4880.0,US,English,"18, 80","Drama, Crime","5, 7295, 11370, 7626","Columbia Pictures, Relativity Media, Michael De Luca Productions, Trigger Street Productions",,175669.62121212122
EMWPF,2020-01-23,21 Bridges,STX Entertai…,2202,0.13,-0.55,51.0,43.0,28539757,63,Eros Media World Plc,2019-11-21,2020,21 bridges,3,11,3,0,1152.859375,456871.203125,24755.62728541805,202367.44444444444,329813.22222222225,227440.0,256485.0,770931.5555555555,887776.3333333334,545550.0,734752.6296296297,254092.86486486485,535292,4.65,tt8688634,en,Released,33000000.0,49900000.0,False,"An embattled NYPD detective, is thrust into a citywide manhunt for a pair of cop killers after uncovering a massive and unexpected conspiracy. As the night unfolds, lines become blurred on who he is pursuing, and who is in pursuit of him.",99.0,6.764,2067.0,US,English,"80, 28, 18","Crime, Action, Drama","47729, 36209, 3393, 269759, 106544","STXfilms, MWM Studios, Huayi Brothers Pictures, X•Ception Content, AGBO",,559603.0784313725
SONY,2012-07-01,21 Jump Street,Sony Pictures,28087,-0.17,-0.41,141.0,199.0,138447667,108,Sony Corporation,2012-03-15,2012,21 jump street,6,3,3,1,1773.0,1607284.0930232557,78086.67061477722,955113.3,1195053.0,944326.8888888888,971860.6,2075226.0,2474629.125,1681537.0,2077130.7083333333,1013793.6315789474,64688,9.8702,tt1232829,en,Released,42000000.0,201585328.0,False,"When cops Schmidt and Jenko join the secret Jump Street unit, they use their youthful appearances to go undercover as high school students. They trade in their guns and badges for backpacks, and set out to shut down a dangerous drug ring. But, as time goes on, Schmidt and Jenko discover that high school is nothing like it was just a few years earlier -- and, what's more, they must again confront the teenage terror and anxiety they thought they had left behind.",109.0,6.883,10670.0,US,English,"28, 35, 80","Action, Comedy, Crime","5, 7295, 333, 21, 5585, 220798","Columbia Pictures, Relativity Media, Original Film, Metro-Goldwyn-Mayer, Stephen J. Cannell Productions, SJC Studios",Jump Street Collection,981898.3475177306
SONY,2014-11-16,22 Jump Street,Sony Pictures,17422,-0.39,0.0,118.0,148.0,191719337,157,Sony Corporation,2014-06-12,2014,22 jump street,6,6,3,1,1945.207792207792,2543274.012987013,98559.82366922374,1681028.1,1866688.6,1488950.0,1770034.181818182,3918183.9166666665,3859420.8333333335,2721983.25,3499862.6666666665,1703342.512195122,187017,9.3264,tt2294449,en,Released,50000000.0,331333876.0,False,"After making their way through high school (twice), big changes are in store for officers Schmidt and Jenko when they go deep undercover at a local college. But when Jenko meets a kindred spirit on the football team, and Schmidt infiltrates the bohemian art major scene, they begin to question their partnership. Now they don't have to just crack the case - they have to figure out if they can have a mature relationship. If these two overgrown adolescents can grow from freshmen into real men, college might be the best thing that ever happened to them.",112.0,6.831,8241.0,US,English,"80, 35, 28","Crime, Comedy, Action","5, 333, 2531, 21, 9194, 34036, 34035","Columbia Pictures, Original Film, MRC, Metro-Goldwyn-Mayer, Cannell Studios, JHF Productions, 33andOut Productions",Jump Street Collection,1624740.1440677966
AMZN,2002-08-18,24 Hour Party People,MGM,45224,-0.14,2.71,18.0,2512.0,201364,10,"Amazon.com, Inc.",2002-08-08,2002,24 hour party people,6,8,3,1,10.0,29048.166666666668,20136.4,0.0,0.0,0.0,0.0,25600.0,32831.0,28713.5,29048.166666666668,0.0,2750,2.1678,tt0274309,en,Released,0.0,2802899.0,False,"Manchester, 1976. Tony Wilson is an ambitious but frustrated local TV news reporter looking for a way to make his mark. After witnessing a life-changing concert by a band known as the Sex Pistols, he persuades his station to televise one of their performances, and soon Manchester's punk groups are clamoring for him to manage them. Riding the wave of a musical revolution, Wilson and his friends create the legendary Factory Records label and The Hacienda club.",117.0,6.938,485.0,GB,English,"35, 18, 10402","Comedy, Drama, Music","20455, 60, 6705, 163, 1219","The Film Consortium, United Artists, Film4 Productions, Revolution Films, Baby Cow Productions",,11186.888888888889
DIS,2008-05-26,27 Dresses,20th Century…,535,0.0,0.0,10.0,54.0,76806312,130,The Walt Disney Company,2008-01-17,2008,27 dresses,0,1,3,0,1164.5,723849.6226415094,65956.4723057106,453162.625,265974.6,250240.53333333333,291718.4666666667,1235168.6666666667,1608992.066666667,979736.2,1274632.3111111112,317534.524590164,6557,6.2713,tt0988595,en,Released,30000000.0,160300000.0,False,Altruistic Jane finds herself facing her worst nightmare as her younger sister announces her engagement to the man Jane secretly adores.,111.0,6.445,3280.0,US,English,"35, 10749","Comedy, Romance","711, 158, 6332","Fox 2000 Pictures, Spyglass Entertainment, Dune Entertainment III",,7680631.2
SONY,2000-05-23,28 Days,Sony Pictures,55066,0.0,-0.63,778.0,71.0,35536450,40,Sony Corporation,2000-04-13,2000,28 days,1,4,3,0,2311.9117647058824,1009017.1764705882,15371.023471789324,462190.8,441812.1666666667,428283.4,500830.6,2123134.25,2530412.5,1217000.0,1899937.4615384613,457495.09523809527,10468,5.084,tt0191754,en,Released,43000000.0,62198945.0,False,"After getting into a car accident while drunk on the day of her sister's wedding, Gwen Cummings is given a choice between prison or a rehab center. She chooses rehab, but is extremely resistant to taking part in any of the treatment programs they have to offer, refusing to admit that she has an alcohol addiction.",103.0,6.153,1040.0,US,English,"35, 18","Comedy, Drama","5, 10239","Columbia Pictures, Tall Trees Productions",,45676.67095115681
