ticker,date,title,distributor,gross,percent_yd,percent_lw,theaters,per_theater,total_gross,days_in_release,parent company,distributor address,distributorwebsite,release_date,year,title_key,weekday,release_month,release_weekday,is_weekend,days_since_release,average_theaters,average_daily_gross,average_daily_gross_per_theater,total_gross_by_average_theaters,avg_gross_monday,avg_gross_tuesday,avg_gross_wednesday,avg_gross_thursday,avg_gross_friday,avg_gross_saturday,avg_gross_sunday,avg_gross_weekend,avg_gross_weekday,gross_per_theater_by_total,weekly_gross_by_total,average_weekly_gross,average_weekly_gross_per_theater,id,original_title,popularity
PARA,2016-06-02,10 Cloverfield Lane,Paramount Pi…,11414,0.32,-0.12,120.0,95.0,72082999,84,Paramount Global,"1515 Broadway, New York City, New York, 10036, United States",http://www.paramount.com/,2016-03-10,2016,10 cloverfield lane,3,3,3,0,84,1378.0941176470587,869211.7529411765,356.0352941176471,52306.29612081477,410377.5833333333,484828.0,362675.5,440960.3076923077,1473445.25,1834275.6666666667,1113607.5833333333,1473776.1666666667,425041.97959183675,52306.29612081477,6006916.583333333,6084482.270588236,2492.2470588235296,333371,10 Cloverfield Lane,7.8372
Private,2025-10-16,100 Meters,GKIDS,313,-0.03,0.0,1.0,313.0,140991,7,Promare,"225 Broadway, Lower Manhattan, New York City, U.S",http://gkids.com/,2025-10-09,2025,100 meters,3,10,3,0,7,1.0,313.0,313.0,140991.0,0.0,0.0,0.0,313.0,0.0,0.0,0.0,0.0,313.0,140991.0,140991.0,2191.0,2191.0,911001,100 meters,0.0143
SONY,2018-06-03,102 Not Out,Sony Pictures,2806,-0.48,-0.83,17.0,165.0,1339909,31,Sony Corporation,"10202 West Washington Boulevard, Culver City, California, United States",https://www.sonypictures.com/,2018-05-03,2018,102 not out,6,5,3,1,31,80.45161290322581,43222.87096774193,471.8709677419355,16654.843223736967,23025.25,33422.25,21569.0,15996.0,49874.2,77773.8,65123.8,64257.26666666667,23503.125,16654.843223736967,334977.25,302560.0967741935,3303.0967741935483,460713,102 Not Out,3.4544
Private,2006-09-04,10th & Wolf,ThinkFilm,1791,0.0,0.0,6.0,299.0,49783,18,Capitol Films,"1335 Windsor Ridge Ln, Annapolis, Maryland",https://www.thinkfilm-inc.com/,2006-08-17,2006,10th & wolf,0,8,3,0,18,6.0,1791.0,299.0,8297.166666666666,1791.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1791.0,8297.166666666666,24891.5,12537.0,2093.0,13197,10th & Wolf,3.6557
WBD,2007-09-03,11th Hour,Warner Indep…,64888,0.0,0.0,111.0,585.0,417913,18,"Warner Bros. Discovery, Inc.","230 Park Avenue South, New York City, New York, 10003, United States",www.warnerbros.com,2007-08-16,2007,11th hour,0,8,3,0,18,111.0,64888.0,585.0,3764.981981981982,64888.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64888.0,3764.981981981982,208956.5,454216.0,4095.0,476899,11th Hour,2.3114
WBD,2007-09-03,11th Hour,Warner Indep…,64888,0.0,0.0,111.0,585.0,417913,18,"Warner Bros. Discovery, Inc.","230 Park Avenue South, New York City, New York, 10003, United States",www.warnerbros.com,2007-08-16,2007,11th hour,0,8,3,0,18,111.0,64888.0,585.0,3764.981981981982,64888.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64888.0,3764.981981981982,208956.5,454216.0,4095.0,650484,11th Hour,0.1843
6758,2009-05-25,12,Sony Picture…,344,0.0,0.0,5.0,69.0,119587,83,Sony Corporation,"10202 West Washington Boulevard, Culver City, California, United States",https://www.sonypictures.com/,2009-03-03,2009,12,0,3,1,0,83,5.0,344.0,69.0,23917.4,344.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,344.0,23917.4,10871.545454545454,2408.0,483.0,20714,12,2.6577
6758,2009-05-25,12,Sony Picture…,344,0.0,0.0,5.0,69.0,119587,83,Sony Corporation,"10202 West Washington Boulevard, Culver City, California, United States",https://www.sonypictures.com/,2009-03-03,2009,12,0,3,1,0,83,5.0,344.0,69.0,23917.4,344.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,344.0,23917.4,10871.545454545454,2408.0,483.0,43421,12,0.205
6758,2009-05-25,12,Sony Picture…,344,0.0,0.0,5.0,69.0,119587,83,Sony Corporation,"10202 West Washington Boulevard, Culver City, California, United States",https://www.sonypictures.com/,2009-03-03,2009,12,0,3,1,0,83,5.0,344.0,69.0,23917.4,344.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,344.0,23917.4,10871.545454545454,2408.0,483.0,67250,12,0.2622
6758,2009-05-25,12,Sony Picture…,344,0.0,0.0,5.0,69.0,119587,83,Sony Corporation,"10202 West Washington Boulevard, Culver City, California, United States",https://www.sonypictures.com/,2009-03-03,2009,12,0,3,1,0,83,5.0,344.0,69.0,23917.4,344.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,344.0,23917.4,10871.545454545454,2408.0,483.0,485835,12,1.3215
6758,2009-05-25,12,Sony Picture…,344,0.0,0.0,5.0,69.0,119587,83,Sony Corporation,"10202 West Washington Boulevard, Culver City, California, United States",https://www.sonypictures.com/,2009-03-03,2009,12,0,3,1,0,83,5.0,344.0,69.0,23917.4,344.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,344.0,23917.4,10871.545454545454,2408.0,483.0,712608,12,1.7009
6758,2009-05-25,12,Sony Picture…,344,0.0,0.0,5.0,69.0,119587,83,Sony Corporation,"10202 West Washington Boulevard, Culver City, California, United States",https://www.sonypictures.com/,2009-03-03,2009,12,0,3,1,0,83,5.0,344.0,69.0,23917.4,344.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,344.0,23917.4,10871.545454545454,2408.0,483.0,739187,12,0.2556
6758,2009-05-25,12,Sony Picture…,344,0.0,0.0,5.0,69.0,119587,83,Sony Corporation,"10202 West Washington Boulevard, Culver City, California, United States",https://www.sonypictures.com/,2009-03-03,2009,12,0,3,1,0,83,5.0,344.0,69.0,23917.4,344.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,344.0,23917.4,10871.545454545454,2408.0,483.0,767295,12,0.1387
6758,2009-05-25,12,Sony Picture…,344,0.0,0.0,5.0,69.0,119587,83,Sony Corporation,"10202 West Washington Boulevard, Culver City, California, United States",https://www.sonypictures.com/,2009-03-03,2009,12,0,3,1,0,83,5.0,344.0,69.0,23917.4,344.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,344.0,23917.4,10871.545454545454,2408.0,483.0,1000128,12,0.3053
6758,2009-05-25,12,Sony Picture…,344,0.0,0.0,5.0,69.0,119587,83,Sony Corporation,"10202 West Washington Boulevard, Culver City, California, United States",https://www.sonypictures.com/,2009-03-03,2009,12,0,3,1,0,83,5.0,344.0,69.0,23917.4,344.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,344.0,23917.4,10871.545454545454,2408.0,483.0,1323424,12,0.0
6758,2009-05-25,12,Sony Picture…,344,0.0,0.0,5.0,69.0,119587,83,Sony Corporation,"10202 West Washington Boulevard, Culver City, California, United States",https://www.sonypictures.com/,2009-03-03,2009,12,0,3,1,0,83,5.0,344.0,69.0,23917.4,344.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,344.0,23917.4,10871.545454545454,2408.0,483.0,1517689,12,1.7939
6758,2009-05-25,12,Sony Picture…,344,0.0,0.0,5.0,69.0,119587,83,Sony Corporation,"10202 West Washington Boulevard, Culver City, California, United States",https://www.sonypictures.com/,2009-03-03,2009,12,0,3,1,0,83,5.0,344.0,69.0,23917.4,344.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,344.0,23917.4,10871.545454545454,2408.0,483.0,1517830,12,0.1528
6758,2009-05-25,12,Sony Picture…,344,0.0,0.0,5.0,69.0,119587,83,Sony Corporation,"10202 West Washington Boulevard, Culver City, California, United States",https://www.sonypictures.com/,2009-03-03,2009,12,0,3,1,0,83,5.0,344.0,69.0,23917.4,344.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,344.0,23917.4,10871.545454545454,2408.0,483.0,1534944,12,0.1529
DIS,2009-05-25,12 Rounds,20th Century…,4832,0.0,0.98,29.0,167.0,12187944,60,The Walt Disney Company,"10201 Pico Blvd, Los Angeles, California",https://www.20thcenturystudios.com/,2009-03-26,2009,12 rounds,0,3,3,0,60,812.2631578947369,212240.70175438595,193.59649122807016,15004.920365450656,75382.0,98180.875,84316.25,87284.375,407820.75,469591.875,280216.125,385876.25,85960.30303030302,15004.920365450656,1523493.0,1485684.9122807016,1355.1754385964912,17134,12 Rounds,4.832
DIS,2009-05-25,12 Rounds,20th Century…,4832,0.0,0.98,29.0,167.0,12187944,60,The Walt Disney Company,"10201 Pico Blvd, Los Angeles, California",https://www.20thcenturystudios.com/,2009-03-26,2009,12 rounds,0,3,3,0,60,812.2631578947369,212240.70175438595,193.59649122807016,15004.920365450656,75382.0,98180.875,84316.25,87284.375,407820.75,469591.875,280216.125,385876.25,85960.30303030302,15004.920365450656,1523493.0,1485684.9122807016,1355.1754385964912,79993,12 Rounds,0.4363
DIS,2009-05-25,12 Rounds,20th Century…,4832,0.0,0.98,29.0,167.0,12187944,60,The Walt Disney Company,"10201 Pico Blvd, Los Angeles, California",https://www.20thcenturystudios.com/,2009-03-26,2009,12 rounds,0,3,3,0,60,812.2631578947369,212240.70175438595,193.59649122807016,15004.920365450656,75382.0,98180.875,84316.25,87284.375,407820.75,469591.875,280216.125,385876.25,85960.30303030302,15004.920365450656,1523493.0,1485684.9122807016,1355.1754385964912,388418,12 Rounds,0.1305
