,ticker,date,title,distributor,gross,percent_yd,percent_lw,theaters,per_theater,total_gross,days_in_release,parent company,release_date,year,title_key,weekday,release_month,release_weekday,is_weekend,days_since_release,average_theaters,average_daily_gross,average_daily_gross_per_theater,total_gross_by_average_theaters,avg_gross_monday,avg_gross_tuesday,avg_gross_wednesday,avg_gross_thursday,avg_gross_friday,avg_gross_saturday,avg_gross_sunday,avg_gross_weekend,avg_gross_weekday,gross_per_theater_by_total,weekly_gross_by_total,average_weekly_gross,average_weekly_gross_per_theater,tmdb_id,popularity,imdb_id,original_language,status,budget,revenue,adult,overview,runtime,vote_average,vote_count,origin_country,spoken_languages,genre_ids,genre_names,production_company_ids,production_company_names,belongs_to_collection
0,PARA,2016-06-02,10 Cloverfield Lane,Paramount Pi…,11414,0.32,-0.12,120.0,95.0,72082999,84,Paramount Global,2016-03-10,2016,10 cloverfield lane,3,3,3,0,84,1378.0941176470587,869211.7529411765,356.0352941176471,52306.29612081477,410377.5833333333,484828.0,362675.5,440960.3076923077,1473445.25,1834275.6666666667,1113607.5833333333,1473776.1666666667,425041.9795918368,52306.29612081477,6006916.583333333,6084482.270588236,2492.2470588235296,333371,7.8372,tt1179933,en,Released,15000000.0,110216998.0,False,"After a catastrophic car crash, a young woman wakes up in a survivalist's underground bunker, where he claims to have saved her from an apocalyptic attack that has left the outside world uninhabitable.",104.0,7.0,8351.0,US,English,"53, 878, 18, 27","Thriller, Science Fiction, Drama, Horror",11461,Bad Robot,
1,Private,2025-10-16,100 Meters,GKIDS,313,-0.03,0.0,1.0,313.0,140991,7,Promare,2025-10-09,2025,100 meters,3,10,3,0,7,1.0,313.0,313.0,140991.0,0.0,0.0,0.0,313.0,0.0,0.0,0.0,0.0,313.0,140991.0,140991.0,2191.0,2191.0,911001,0.0143,,en,Released,0.0,0.0,False,,1.0,0.0,0.0,US,,,,,,
2,SONY,2018-06-03,102 Not Out,Sony Pictures,2806,-0.48,-0.83,17.0,165.0,1339909,31,Sony Corporation,2018-05-03,2018,102 not out,6,5,3,1,31,80.45161290322581,43222.87096774193,471.8709677419355,16654.843223736967,23025.25,33422.25,21569.0,15996.0,49874.2,77773.8,65123.8,64257.26666666667,23503.125,16654.843223736967,334977.25,302560.0967741935,3303.0967741935483,460713,3.4544,tt6580564,hi,Released,0.0,0.0,False,"An unusual love-hate relationship between a 75-year-old son and his 102-year-old father, who wants to break the oldest-man-alive record.",107.0,7.5,62.0,"IN, US",Hindi,"35, 10751, 18","Comedy, Family, Drama","5544, 106569, 157559, 63520","Benchmark, Treetop Entertainment, Sony Pictures Films India, Sony Pictures International Productions",
3,Private,2006-09-04,10th & Wolf,ThinkFilm,1791,0.0,0.0,6.0,299.0,49783,18,Capitol Films,2006-08-17,2006,10th & wolf,0,8,3,0,18,6.0,1791.0,299.0,8297.166666666666,1791.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1791.0,8297.166666666666,24891.5,12537.0,2093.0,13197,3.6557,tt0360323,en,Released,8000000.0,143451.0,False,"A former street thug returns to his Philadelphia home after a stint in the military. Back on his home turf, he once again finds himself tangling with the mob boss who was instrumental in his going off to be a soldier.",107.0,5.856,108.0,US,English,"28, 80, 18, 9648, 53","Action, Crime, Drama, Mystery, Thriller",41427,Suzanne DeLaurentiis Productions,
4,WBD,2007-09-03,11th Hour,Warner Indep…,64888,0.0,0.0,111.0,585.0,417913,18,"Warner Bros. Discovery, Inc.",2007-08-16,2007,11th hour,0,8,3,0,18,111.0,64888.0,585.0,3764.981981981982,64888.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64888.0,3764.981981981982,208956.5,454216.0,4095.0,476899,2.3114,tt6207498,en,Released,0.0,0.0,False,"Based on a true story, 11th Hour recounts how, on the evening of 9/11, Maria Jose's bar is heaving with locals united in grief and a building rage.",10.0,6.417,6.0,"IE, MX, US","English, Spanish",,,"160740, 2307, 71357, 49326, 11294","Canal 44, Hell's Kitchen, Hell's Kitchen International, Underground Films, Universidad de Guadalajara",
5,6758,2009-05-25,12,Sony Picture…,344,0.0,0.0,5.0,69.0,119587,83,Sony Corporation,2009-03-03,2009,12,0,3,1,0,83,5.0,344.0,69.0,23917.4,344.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,344.0,23917.4,10871.545454545454,2408.0,483.0,20714,2.6577,tt0488478,ru,Released,4000000.0,7537453.0,False,"A loose remake of “12 Angry Men”, “12” is set in contemporary Moscow where 12 very different men must unanimously decide the fate of a young Chechen accused of murdering his step-father, a Russian army officer. Consigned to a makeshift jury room in a school gymnasium, one by one each man takes center stage to confront, connect, and confess while the accused awaits a verdict and revisits his heartbreaking journey through war in flashbacks.",159.0,6.59,404.0,RU,"Russian, Chechen","80, 18, 9648","Crime, Drama, Mystery","3467, 24544, 170585, 21","Studio Trite, Federal Agency for Culture and Cinematograph, Mosfilm, Metro-Goldwyn-Mayer",
6,DIS,2009-05-25,12 Rounds,20th Century…,4832,0.0,0.98,29.0,167.0,12187944,60,The Walt Disney Company,2009-03-26,2009,12 rounds,0,3,3,0,60,812.2631578947369,212240.70175438595,193.59649122807016,15004.920365450656,75382.0,98180.875,84316.25,87284.375,407820.75,469591.875,280216.125,385876.25,85960.30303030302,15004.920365450656,1523493.0,1485684.9122807016,1355.1754385964912,17134,4.832,tt1160368,en,Released,22000000.0,17280326.0,False,"When New Orleans Police Detective Danny Fisher stops a brilliant thief from getting away with a multimillion-dollar heist, the thief's girlfriend is accidentally killed. After escaping from prison, the criminal mastermind enacts his revenge, taunting Danny with 12 rounds of near-impossible puzzles and tasks that he must somehow complete to save the life of the woman he loves.",108.0,5.904,819.0,US,English,"28, 53, 80","Action, Thriller, Crime","1557, 17887, 2890, 10339","The Mark Gordon Company, Midnight Sun Pictures, Fox Atomic, WWE Studios",12 Rounds Collection
7,WBD,2018-03-29,12 Strong,Warner Bros.,4502,0.08,-0.45,95.0,47.0,45500164,70,Warner Bros. Entertainment Inc.,2018-01-18,2018,12 strong,3,1,3,0,70,1253.394366197183,653523.4366197183,295.7887323943662,36301.55458417144,287250.6,379838.5,281256.7,299688.9090909091,1057818.7,1518290.9,785903.2,1120670.933333333,311708.1951219512,36301.55458417144,4550016.4,4574664.056338028,2070.521126760564,429351,6.5749,tt1413492,en,Released,35000000.0,67450815.0,False,A team of special forces head into Afghanistan in the aftermath of the September 11th attacks in an attempt to dismantle the Taliban.,130.0,6.3,3093.0,US,English,"10752, 18, 28, 36","War, Drama, Action, History","79529, 1088, 33681, 130, 101829","Torridon Films, Alcon Entertainment, Black Label Media, Jerry Bruckheimer Films, 16:14 Entertainment",
8,SONY,2004-06-03,13 Going On 30,Sony Pictures,115000,0.01,-0.59,1164.0,99.0,54901000,42,Sony Corporation,2004-04-22,2004,13 going on 30,3,4,3,0,42,2626.119047619048,1314798.4047619049,439.6190476190476,20905.754462950037,499138.6666666667,461833.3333333333,393333.3333333333,389166.6666666667,2483333.333333333,3087716.1666666665,1889067.3333333333,2486705.611111111,435868.0,20905.754462950037,9150166.666666666,9203588.833333334,3077.333333333333,10096,9.9911,tt0337563,en,Released,37000000.0,96500000.0,False,"After total humiliation at her thirteenth birthday party, Jenna Rink wants to just hide until she's thirty. Thanks to some magic wishing dust, Jenna's prayer has been answered. With a knockout body, a fabulous wardrobe, an athlete boyfriend, a dream job, and superstar friends, this can't be a better life. But soon Jenna realizes that adult life isn’t as easy as she hoped for.",98.0,6.8,5385.0,US,English,"35, 14, 10749","Comedy, Fantasy, Romance","497, 19636","Revolution Studios, Thirteen Productions",
9,AMZN,2007-09-03,1408,MGM,38250,0.0,0.0,218.0,175.0,71519946,74,"Amazon.com, Inc.",2007-06-21,2007,1408,0,6,3,0,74,2289.3611111111118,1911403.0555555555,765.5555555555555,31240.133176407777,1080696.6666666667,1163785.2,1079948.4,1036500.4,3229999.4,3393589.8,2561442.8,3061677.333333333,1089778.5714285714,31240.133176407777,7151994.6,13379821.388888888,5358.888888888889,3021,7.4054,tt0450385,en,Released,25000000.0,133000000.0,False,"A man who specializes in debunking paranormal occurrences checks into the fabled room 1408 in the Dolphin Hotel. Soon after settling in, he confronts genuine terror.",104.0,6.695,4680.0,US,English,"27, 9648","Horror, Mystery","7405, 435","Dimension Films, di Bonaventura Pictures",
10,WBD,2001-04-05,15 Minutes,New Line,89000,-0.04,-0.56,936.0,95.0,23917000,28,Warner Bros. Discovery,2001-03-08,2001,15 minutes,3,3,3,0,28,1977.625,932448.7083333334,420.375,12093.799380570128,407309.25,452061.75,378606.25,332465.0,2260500.0,3287500.0,1250250.0,2012125.0,392610.5625,12093.799380570128,5979250.0,6527140.958333334,2942.625,2749,3.8044,tt0179626,en,Released,60000000.0,56359980.0,False,"When Eastern European criminals Oleg and Emil come to New York City to pick up their share of a heist score, Oleg steals a video camera and starts filming their activities, both legal and illegal. When they learn how the American media circus can make a remorseless killer look like the victim and make them rich, they target media-savvy NYPD Homicide Detective Eddie Flemming and media-naive FDNY Fire Marshal Jordy Warsaw, the cops investigating their murder and torching of their former criminal partner, filming everything to sell to the local tabloid TV show ""Top Story.""",120.0,5.9,768.0,US,"Russian, English, Czech, Greek","28, 80, 53","Action, Crime, Thriller","376, 11391, 67171","Industry Entertainment Partners, Tribeca Productions, New Redemption Pictures",
