ticker,date,title,distributor,gross,percent_yd,percent_lw,theaters,per_theater,total_gross,days_in_release,parent company,release_date,year,title_key,tmdb_id,popularity,weekday,release_month,release_weekday,is_weekend,imdb_id,original_language,status,budget,revenue,adult,overview,runtime,vote_average,vote_count,origin_country,spoken_languages,genre_ids,genre_names,production_company_ids,production_company_names,belongs_to_collection,gross_per_theater,omdb_title,omdb_year,omdb_rated,omdb_released,omdb_runtime,omdb_genre,omdb_director,omdb_writer,omdb_actors,omdb_plot,omdb_language,omdb_country,omdb_awards,omdb_poster,omdb_metascore,omdb_imdbrating,omdb_imdbvotes,omdb_boxoffice,omdb_production,omdb_rating_internetmoviedatabase,omdb_rating_rottentomatoes,omdb_rating_metacritic
Private,2025-11-06,Anniversary,Roadside Att…,23223,-0.5,-0.43,809.0,29.0,530320,9,Roadside Attractions,2025-10-28,2025,anniversary,210832,0.0773,3,10,1,0,tt0224619,en,Released,0.0,0.0,False,Computer animated short film created to commemorate the National Film Board of Canada's 50th anniversary.,12.0,0.0,0.0,US,,16,Animation,10473,ONF | NFB,,28.70580964153276,,,,,,,,,,,,,,,,,,,,,,
Private,2025-11-06,Anniversary,Roadside Att…,23223,-0.5,-0.43,809.0,29.0,530320,9,Roadside Attractions,2025-10-28,2025,anniversary,658528,1.519,3,10,1,0,,en,Released,0.0,0.0,False,"""Anniversary"" is a story of love, of what trust mean and the need to find out the truth. ""Anniversary"" will touch your heart and remain in your mind long after viewing.",15.0,0.0,0.0,US,English,18,Drama,215174,Royston Tan Films,,28.70580964153276,,,,,,,,,,,,,,,,,,,,,,
Private,2025-11-06,Anniversary,Roadside Att…,23223,-0.5,-0.43,809.0,29.0,530320,9,Roadside Attractions,2025-10-28,2025,anniversary,876224,0.2119,3,10,1,0,tt14661372,en,Released,0.0,0.0,False,A couple experience terror in the desert following their wedding.,7.0,0.0,0.0,US,English,"27, 53","Horror, Thriller",161235,CraigOFilm,,28.70580964153276,Anniversary,2021,,26 Aug 2021,7 min,"Short, Horror",Craig Ouellette,Craig Ouellette,"David Crane, David T. Crane, Katie Peabody",,English,United States,1 win,https://m.media-amazon.com/images/M/MV5BZjQ2YjVjZTUtMDEyMC00OGE2LWJkY2ItNzRjNjFlYTVlNmQ5XkEyXkFqcGdeQXVyMTA0ODQzMTg0._V1_SX300.jpg,,,,,,,,
Private,2025-11-06,Anniversary,Roadside Att…,23223,-0.5,-0.43,809.0,29.0,530320,9,Roadside Attractions,2025-10-28,2025,anniversary,1007280,0.0673,3,10,1,0,tt21812020,en,Released,0.0,0.0,False,"A seemingly happy couple’s marriage is threatened when on their sixth wedding anniversary, when the husband reveals that he wants more adventurous sex.",91.0,0.0,0.0,US,,"18, 10749","Drama, Romance",,,,28.70580964153276,Anniversary,2015,,25 Dec 2015,,Drama,Afe Olumowe,Afe Olumowe,"Harold Amenyah, Juliet Ibrahim, Ebube Nwagbo",,English,Ghana,1 nomination,https://m.media-amazon.com/images/M/MV5BM2VkYjFhYTctNTNiMC00N2IxLTlhNTktYzViYmU5ZTMyY2MyXkEyXkFqcGdeQXVyNzc5NDg5Mjc@._V1_SX300.jpg,,,,,,,,
Private,2025-11-06,Anniversary,Roadside Att…,23223,-0.5,-0.43,809.0,29.0,530320,9,Roadside Attractions,2025-10-28,2025,anniversary,1126336,3.6166,3,10,1,0,tt12583926,en,Released,0.0,0.0,False,"When Ellen and Paul’s son introduces his new girlfriend one lovely afternoon at their 25th anniversary party, no one suspects that it is the beginning of the end for this happy family. The new girlfriend is Liz, Ellen’s former student, who left the university, some years before, after Ellen called her out in class for her radical ideology.",111.0,5.7,8.0,US,English,"53, 18","Thriller, Drama","1632, 181874, 8073, 13649, 20859, 86504","Lionsgate, Fifth Season, Nick Wechsler Productions, Chockstone Pictures, Churchill Films, Metropolitan Pictures",,28.70580964153276,Anniversary,2025,R,29 Oct 2025,,Thriller,Jan Komasa,"Lori Rosene-Gambino, Jan Komasa","Diane Lane, Kyle Chandler, Zoey Deutch","A provocative thriller about a very close-knit family that is torn apart as a new movement ""The Change"" envelops the country.",English,United States,,,,,,,,,62%,
Private,2025-11-06,Anniversary,Roadside Att…,23223,-0.5,-0.43,809.0,29.0,530320,9,Roadside Attractions,2025-10-28,2025,anniversary,1398873,0.4057,3,10,1,0,,en,Released,0.0,0.0,False,"A couple celebrate their anniversary. Okay, perhaps ""celebrate"" is not the proper word.",6.0,0.0,0.0,US,English,53,Thriller,16048,Fewdio Entertainment,,28.70580964153276,,,,,,,,,,,,,,,,,,,,,,
Private,2025-11-06,Anniversary,Roadside Att…,23223,-0.5,-0.43,809.0,29.0,530320,9,Roadside Attractions,2025-10-28,2025,anniversary,1437750,1.5207,3,10,1,0,tt8032540,en,Released,0.0,0.0,False,A sophisticated young couple celebrates their first wedding anniversary.,10.0,0.0,0.0,US,English,18,Drama,176356,Wild7 Films,,28.70580964153276,Anniversary,2018,,10 Mar 2018,10 min,"Short, Drama",Mike Hermosa,Conrad Bishop,"Natasha Leron, Themo Melikidze",A sophisticated young couple celebrates their first wedding anniversary.,English,USA,,https://m.media-amazon.com/images/M/MV5BNzY5NTJhYWYtZGYxMC00MGMwLWI4YTQtN2VlZTFiMGI1OWU1XkEyXkFqcGdeQXVyMjM0MzE1NDY@._V1_SX300.jpg,,,,,,,,
Private,2025-11-06,Anniversary,Roadside Att…,23223,-0.5,-0.43,809.0,29.0,530320,9,Roadside Attractions,2025-10-28,2025,anniversary,1455943,0.0972,3,10,1,0,tt33364918,en,Released,1000.0,0.0,False,"A wife spends their anniversary waiting for her husband to finish a call, as their troubled marriage faces challenges.",20.0,10.0,1.0,IN,"English, Malayalam, Marathi","18, 10751","Drama, Family",,,,28.70580964153276,Anniversary,2024,,12 Aug 2024,20 min,"Short, Drama",Sushant Ghadge,Sushant Ghadge,Pratiksha Kote,"A wife spends their anniversary waiting for her husband to finish a call, as their troubled marriage faces challenges.",Malayalam,India,,https://m.media-amazon.com/images/M/MV5BZDE4ZjhhOWYtMDA3ZS00YTRmLWE2OGMtMjk0NjcyMmFjZGIwXkEyXkFqcGc@._V1_SX300.jpg,,,,,,,,
Private,2025-11-06,Anniversary,Roadside Att…,23223,-0.5,-0.43,809.0,29.0,530320,9,Roadside Attractions,2025-10-28,2025,anniversary,1522761,0.2916,3,10,1,0,,en,Released,0.0,0.0,False,A middle-aged woman and her best friend rush to make her over for the anniversary dinner she’s sure her husband is surprising her with.,15.0,10.0,1.0,US,English,"10749, 35","Romance, Comedy",161836,Monarch Kaleidoscope,,28.70580964153276,,,,,,,,,,,,,,,,,,,,,,
Private,2025-11-06,Anniversary,Roadside Att…,23223,-0.5,-0.43,809.0,29.0,530320,9,Roadside Attractions,2025-10-28,2025,anniversary,1541620,0.0239,3,10,1,0,,en,Released,0.0,0.0,False,"Aurora is setting up a special anniversary dinner for her husband. She goes about her day, alone, reminiscing about her lover, but a truth hangs over her like a dark cloud.",7.0,0.0,0.0,AU,English,18,Drama,144912,Nexus Production Group,,28.70580964153276,,,,,,,,,,,,,,,,,,,,,,
Private,2025-11-06,Anniversary,Roadside Att…,23223,-0.5,-0.43,809.0,29.0,530320,9,Roadside Attractions,2025-10-28,2025,anniversary,1557037,0.2548,3,10,1,0,tt0225080,en,Released,0.0,0.0,False,"Here you will see Marie Dressler, Mary Pickford, Norma Shearer, Walter Huston and a host of other Canadians who achieved world renown on the silver screen. Slapstick, romance, tragedy, comedy--it's all here in an entertaining sampling of what audiences have applauded down the years. You see the audiences too, and the theatres where early movies first drew in the fans. As guide you could hardly find a more knowledgeable or familiar figure than Walter Pidgeon, a Canadian with eighty or more films to his credit. He recalls the personalities of the great stars he has known and explains how the technology developed that shows the stars on the screen.",19.0,0.0,0.0,US,,99,Documentary,,,,28.70580964153276,,,,,,,,,,,,,,,,,,,,,,
Private,2025-11-07,Die My Love,MUBI,1000000,0.0,0.0,1983.0,504.0,1000000,1,MUBI,2025-11-06,2025,die my love,1033148,8.2564,4,11,3,1,tt9362736,en,Released,20000000.0,2610583.0,False,"Grace, a writer and young mother, is slowly slipping into madness. Locked away in an old house in Montana, her increasingly agitated and erratic behaviour leaves her companion, Jackson, worried and helpless.",119.0,6.9,15.0,US,English,18,Drama,"117188, 23243, 33681","Excellent Cadaver, Sikelia Productions, Black Label Media",,504.2864346949067,Die My Love,2025,R,07 Nov 2025,119 min,"Drama, Thriller",Lynne Ramsay,"Enda Walsh, Lynne Ramsay, Alice Birch","Jennifer Lawrence, Robert Pattinson, Sissy Spacek","Grace, a writer and young mother, is slowly slipping into madness. Locked away in an old house in and around Montana, we see her acting increasingly agitated and erratic, leaving her companion, Jackson, increasingly worried and he...",English,"United Kingdom, Canada, United States",10 nominations total,https://m.media-amazon.com/images/M/MV5BYjc5OWZlZmYtMTg3Yy00YzFmLTg0YTgtNjVjN2M2ZWJjOWM1XkEyXkFqcGc@._V1_SX300.jpg,72.0,6.6,"9,529","$4,884,888",,6.6/10,,72/100
6758,2025-11-10,Nuremberg,Sony Picture…,470000,-0.52,0.0,1802.0,261.0,4353294,4,Sony Corporation,2025-11-06,2025,nuremberg,934121,0.2473,0,11,3,0,,en,Released,0.0,0.0,False,"This film essentially consists of a reassembly of the subjects made by the press filmed during the trial. Illustrated with numerous archive images giving a history of Nazi crimes, it summarizes the trial in which most of the Nazi leaders were tried. Ignoring or almost ignoring the role of the United States, the United Kingdom and the Soviet Union, he gives pride of place to that of France.",19.0,7.5,1.0,US,English,99,Documentary,,,,260.82130965593785,,,,,,,,,,,,,,,,,,,,,,
6758,2025-11-10,Nuremberg,Sony Picture…,470000,-0.52,0.0,1802.0,261.0,4353294,4,Sony Corporation,2025-11-06,2025,nuremberg,1045933,0.3984,0,11,3,0,tt0117216,en,Released,0.0,0.0,False,"On 20 November 1945, in what had once been the spiritual centre of the Nazi Empire, the first Nuremberg trial opened. Nuremberg examines the first trail in detail: the scale and speed of the US-led effort to place the Third Reich's leaders in the dock; the charges brought against them; the courtroom drama; the final judgements. Of the 21 defendants, three were acquitted, seven given jail sentences and the remaining eleven sentenced to death, among them Hitler's right-hand man, Hermann Goering.  This programme also explores the twelve subsequent trials against the backdrop of the emerging Cold War and the shifting allegiances of allies and enemies in the immediate post-war period.",51.0,0.0,0.0,US,English,99,Documentary,193018,Worldview Pictures,,260.82130965593785,,,,,,,,,,,,,,,,,,,,,,
