ticker,date,title,distributor,gross,percent_yd,percent_lw,theaters,per_theater,total_gross,days_in_release,parent company,release_date,year,title_key,weekday,release_month,release_weekday,is_weekend,average_theaters,average_gross,average_gross_per_theaters,avg_gross_monday,avg_gross_tuesday,avg_gross_wednesday,avg_gross_thursday,avg_gross_friday,avg_gross_saturday,avg_gross_sunday,avg_gross_weekend,avg_gross_weekday,tmdb_id,popularity,imdb_id,original_language,status,budget,revenue,adult,overview,runtime,vote_average,vote_count,origin_country,spoken_languages,genre_ids,genre_names,production_company_ids,production_company_names,belongs_to_collection,gross_per_theater,omdb_title,omdb_year,omdb_rated,omdb_released,omdb_runtime,omdb_genre,omdb_director,omdb_writer,omdb_actors,omdb_plot,omdb_language,omdb_country,omdb_awards,omdb_poster,omdb_metascore,omdb_imdbrating,omdb_imdbvotes,omdb_boxoffice,omdb_production,omdb_rating_internetmoviedatabase,omdb_rating_rottentomatoes,omdb_rating_metacritic
CMCSA,2001-01-15,A Hard Day's Night,Universal,9090,0.0,0.0,31.0,293.0,860887,13307,Comcast Corporation,1964-08-10,2001,a hard day's night,0,8,0,0,31.0,9090.0,27770.548387096773,9090.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9090.0,704,3.9337,tt0058182,en,Released,560000.0,11000000.0,False,"Capturing John Lennon, Paul McCartney, George Harrison and Ringo Starr in their electrifying element, 'A Hard Day's Night' is a wildly irreverent journey through this pastiche of a day in the life of The Beatles during 1964. The band have to use all their guile and wit to avoid the pursuing fans and press to reach their scheduled television performance, in spite of Paul's troublemaking grandfather and Ringo's arrest.",88.0,7.333,715.0,GB,"English, French, German","35, 10402","Comedy, Music","413, 3462, 60","Proscenium Films, Walter Shenson Films, United Artists",,27770.548387096773,,,,,,,,,,,,,,,,,,,,,,
DIS,2024-05-02,Alien,20th Century…,174005,-0.15,0.0,1750.0,99.0,64324049,16415,The Walt Disney Company,1979-05-24,2024,alien,3,5,3,0,1164.076923076923,188717.0,55257.558778827726,180290.0,197169.0,203759.0,174005.0,219105.0,201927.66666666663,145000.0,188677.5555555556,188805.75,348,20.7329,tt0078748,en,Released,11000000.0,104931801.0,False,"During its return to the earth, commercial spaceship Nostromo intercepts a distress signal from a distant planet. When a three-member team of the crew discovers a chamber containing thousands of eggs on the planet, a creature inside one of the eggs attacks an explorer. The entire crew is unaware of the impending nightmare set to descend upon them when the alien parasite planted inside its unfortunate host is birthed.",117.0,8.166,15726.0,US,"English, Spanish","27, 878","Horror, Science Fiction","401, 276266, 276267","Brandywine Productions, Twentieth Century-Fox Productions, Ronald Shusett Productions",Alien Collection,36756.59942857143,,,,,,,,,,,,,,,,,,,,,,
CMCSA,2025-11-10,Back to the Future,Universal,104575,-0.61,-0.74,1356.0,77.0,224482467,14741,Comcast Corporation,1985-07-02,2025,back to the future,0,7,1,0,1939.0833333333333,740925.0,115767.31290558254,249852.5,531775.0,1010840.0,187940.0,905000.0,1160000.0,760000.0,941666.6666666666,540183.3333333334,105,25.3407,tt0088763,en,Released,19000000.0,381109762.0,False,"Eighties teenager Marty McFly is accidentally sent back in time to 1955, inadvertently disrupting his parents' first meeting and attracting his mother's romantic interest. Marty must repair the damage to history by rekindling his parents' romance and - with the help of his eccentric inventor friend Doc Brown - return to 1985.",116.0,8.322,21044.0,US,English,"12, 35, 878","Adventure, Comedy, Science Fiction","33, 56","Universal Pictures, Amblin Entertainment",Back to the Future Collection,165547.54203539822,,,,,,,,,,,,,,,,,,,,,,
WBD,2008-03-12,Blade Runner,Warner Bros.,1710,0.38,0.85,5.0,342.0,32629321,9393,Warner Bros. Entertainment Inc.,1982-06-24,2008,blade runner,2,6,3,0,5.47457627118644,2871.745762711864,5960154.609907121,1816.7777777777776,1896.8,2167.777777777778,1894.142857142857,3721.875,5055.625,3890.625,4222.708333333333,1945.3714285714289,78,11.1371,tt0083658,en,Released,28000000.0,41722424.0,False,"In the smog-choked dystopian Los Angeles of 2019, blade runner Rick Deckard is called out of retirement to terminate a quartet of replicants who have escaped to Earth seeking their creator for a way to extend their short life spans.",118.0,7.941,14474.0,US,"English, German, Cantonese, Japanese, Hungarian","878, 18, 53","Science Fiction, Drama, Thriller","5798, 7965, 174","Shaw Brothers, The Ladd Company, Warner Bros. Pictures",Blade Runner Collection,6525864.2,,,,,,,,,,,,,,,,,,,,,,
CMCSA,2000-07-23,Blood Simple,USA Films,49000,0.0,0.0,56.0,875.0,499936,5666,Universal Pictures,1985-01-17,2000,blood simple,6,1,3,1,56.0,49000.0,8927.42857142857,0.0,0.0,0.0,0.0,0.0,0.0,49000.0,49000.0,0.0,11368,7.9621,tt0086979,en,Released,1500000.0,4229114.0,False,"The owner of a seedy small-town Texas bar discovers that one of his employees is having an affair with his wife. A chaotic chain of misunderstandings, lies and mischief ensues after he devises a plot to have them murdered.",97.0,7.248,1541.0,US,English,"80, 18, 53","Crime, Drama, Thriller","13949, 13950","River Road Productions, Foxton Entertainment",,8927.42857142857,,,,,,,,,,,,,,,,,,,,,,
DIS,2023-12-21,Die Hard,20th Century…,54597,-0.47,-0.3,1355.0,40.0,85892546,12943,The Walt Disney Company,1988-07-14,2023,die hard,3,7,3,0,1247.75,118646.45,68837.94510118212,88911.5,118006.0,114292.5,66254.5,139000.0,154750.0,105750.0,133166.66666666666,96866.125,562,11.6767,tt0095016,en,Released,28000000.0,140767956.0,False,"NYPD cop John McClane's plan to reconcile with his estranged wife is thrown for a serious loop when, minutes after he arrives at her offices Christmas Party, the entire building is overtaken by a group of terrorists. With little help from the LAPD, wisecracking McClane sets out to single-handedly rescue the hostages and bring the bad guys down.",132.0,7.802,11766.0,US,"English, German, Italian","28, 53","Action, Thriller","1073, 1885, 25","Gordon Company, Silver Pictures, 20th Century Fox",Die Hard Collection,63389.33284132841,,,,,,,,,,,,,,,,,,,,,,
SONY,2021-11-04,Ghostbusters,Sony Pictures,12563,-0.35,0.0,774.0,16.0,242604185,13664,Sony Corporation,1984-06-07,2021,ghostbusters,3,6,3,0,1107.9512195121952,1073736.0081300812,218966.48582309688,608516.8823529412,761873.6470588235,532560.0588235294,629723.2222222222,1635474.5,1878238.3333333333,1396528.888888889,1636747.240740741,633118.5217391305,620,11.8543,tt0087332,en,Released,30000000.0,296640120.0,False,"After losing their academic posts at a prestigious university, a team of parapsychologists goes into business as proton-pack-toting ""ghostbusters"" who exterminate ghouls, hobgoblins and supernatural pests of all stripes. An ad campaign pays off when a knockout cellist hires the squad to purge her swanky digs of demons that appear to be living in her refrigerator.",107.0,7.5,9415.0,US,English,"35, 14","Comedy, Fantasy","5, 4267, 47565","Columbia Pictures, Delphi Films, Black Rhino Productions",Ghostbusters Collection,313442.09948320413,,,,,,,,,,,,,,,,,,,,,,
PARA,2010-08-08,Grease,Paramount Pi…,2344,-0.38,-0.69,21.0,112.0,181813770,11742,Paramount Global,1978-06-15,2010,grease,6,6,3,1,1113.6842105263158,661087.447368421,163254.33034026466,369083.0,422167.0,385938.0,232643.0,1131635.75,973235.125,479276.28571428574,877995.695652174,328494.8,621,9.8362,tt0077631,en,Released,6000000.0,396271103.0,False,"Australian good girl Sandy and greaser Danny fell in love over the summer. But when they unexpectedly discover they're now in the same high school, will they be able to rekindle their romance despite their eccentric friends?",110.0,7.373,7495.0,US,English,"10749, 35","Romance, Comedy","4, 3978, 137497","Paramount Pictures, Robert Stigwood Organization, Fine Arts Films",Grease Collection,8657798.57142857,,,,,,,,,,,,,,,,,,,,,,
CMCSA,2025-09-18,Jaws,Universal,2485,-0.44,-0.95,175.0,14.0,286481270,18354,Comcast Corporation,1975-06-19,2025,jaws,3,6,3,0,1411.2325581395348,435950.11627906974,203000.75161083005,436442.5,189584.16666666663,160493.33333333334,208076.42857142852,735180.8333333334,723715.8333333334,636136.6666666666,698344.4444444445,247026.2,578,16.9043,tt0073195,en,Released,7000000.0,470653000.0,False,"When the seaside community of Amity finds itself under attack by a dangerous great white shark, the town's chief of police, a young marine biologist, and a grizzled shark hunter embark on a desperate quest to kill the beast before it strikes again.",124.0,7.68,11114.0,US,English,"27, 53, 12","Horror, Thriller, Adventure","1865, 33","The Zanuck/Brown Company, Universal Pictures",Jaws Collection,1637035.8285714283,,,,,,,,,,,,,,,,,,,,,,
Private,2007-05-28,Killer of Sheep,Milestone,1389,0.0,0.0,3.0,463.0,218326,10741,Milestone,1977-12-30,2007,killer of sheep,0,12,4,0,3.0,1389.0,72775.33333333333,1389.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1389.0,27432,2.2028,tt0076263,en,Released,100000.0,362222.0,False,An African-American man working at a slaughterhouse in the Watts area of Los Angeles leads a dissatisfied and listless existence.,80.0,6.5,132.0,US,English,18,Drama,93224,Milestone Films,,72775.33333333333,,,,,,,,,,,,,,,,,,,,,,
