Data Field,Data Type
ticker,object
date,datetime64[ns]
title,object
distributor,object
gross,int64
percent_yd,float64
percent_lw,float64
theaters,float64
per_theater,float64
total_gross,int64
days_in_release,int64
parent company,object
distributor address,object
distributorwebsite,object
release_date,datetime64[ns]
year,int64
title_key,object
weekday,int64
release_month,int64
release_weekday,int64
is_weekend,int64
days_since_release,int64
average_theaters,float64
average_daily_gross,float64
average_daily_gross_per_theater,float64
gross_per_theater_by_total,float64
avg_gross_monday,float64
avg_gross_tuesday,float64
avg_gross_wednesday,float64
avg_gross_thursday,float64
avg_gross_friday,float64
avg_gross_saturday,float64
avg_gross_sunday,float64
avg_gross_weekend,float64
avg_gross_weekday,float64
weekly_gross_by_total,float64
average_weekly_gross,float64
average_weekly_gross_per_theater,float64
id,int64
original_title,object
popularity,float64
