Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response,Rating_InternetMovieDatabase,Rating_Metacritic,Error,Rating_RottenTomatoes,Season,Episode,seriesID,totalSeasons
Nuremberg,1996,N/A,N/A,50 min,Documentary,Stephen Trombley,N/A,N/A,N/A,N/A,United Kingdom,1 win & 1 nomination,https://m.media-amazon.com/images/M/MV5BNmFhNTNkZjctODZmMi00NmU1LTlhYjMtZjk3NmFlODYwOWY2XkEyXkFqcGdeQXVyNDIyMjQzMQ@@._V1_SX300.jpg,N/A,7.0,56,tt0117216,movie,N/A,N/A,N/A,N/A,True,7.0/10,,,,,,,
Die My Love,2025,R,07 Nov 2025,119 min,"Drama, Thriller",Lynne Ramsay,"Enda Walsh, Lynne Ramsay, Alice Birch","Jennifer Lawrence, Robert Pattinson, Sissy Spacek","Grace, a writer and young mother, is slowly slipping into madness. Locked away in an old house in and around Montana, we see her acting increasingly agitated and erratic, leaving her companion, Jackson, increasingly worried and he...",English,"United Kingdom, Canada, United States",10 nominations total,https://m.media-amazon.com/images/M/MV5BYjc5OWZlZmYtMTg3Yy00YzFmLTg0YTgtNjVjN2M2ZWJjOWM1XkEyXkFqcGc@._V1_SX300.jpg,72,6.6,"9,529",tt9362736,movie,N/A,"$4,884,888",N/A,N/A,True,6.6/10,72/100,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,False,,,Incorrect IMDb ID.,,,,,
Nuremberg,2025,PG-13,07 Nov 2025,148 min,"Drama, History, Thriller",James Vanderbilt,"Jack El-Hai, James Vanderbilt","Rami Malek, Russell Crowe, Richard E. Grant","A WWII psychiatrist evaluates Nazi leaders before the Nuremberg trials, growing increasingly obsessed with understanding evil as he forms a disturbing bond with Hermann Göring.",English,United States,1 win & 4 nominations total,https://m.media-amazon.com/images/M/MV5BMjZhNGI0Y2ItNGM3OC00ZTNmLTkyYzgtYWM5MDdlZTMyODI1XkEyXkFqcGc@._V1_SX300.jpg,N/A,N/A,N/A,tt29567915,movie,N/A,N/A,N/A,N/A,True,,,,67%,,,,
,,,,,,,,,,,,,,,,,,,,,,,False,,,Incorrect IMDb ID.,,,,,
Predator: Badlands,2025,PG-13,07 Nov 2025,107 min,"Action, Adventure, Sci-Fi",Dan Trachtenberg,"Patrick Aison, Jim Thomas, John Thomas","Elle Fanning, Dimitrius Schuster-Koloamatangi",A young Predator outcast from his clan finds an unlikely ally on his journey in search of the ultimate adversary.,English,"United States, Australia, New Zealand, Canada",N/A,https://m.media-amazon.com/images/M/MV5BNTdjZGUxMTItNjRkNS00N2VhLWE4MjMtMjVhODMwMGIxNjUwXkEyXkFqcGc@._V1_SX300.jpg,71,7.6,"18,100",tt31227572,movie,N/A,"$40,000,000",N/A,N/A,True,7.6/10,71/100,,85%,,,,
Anniversary,2025,R,29 Oct 2025,N/A,Thriller,Jan Komasa,"Lori Rosene-Gambino, Jan Komasa","Diane Lane, Kyle Chandler, Zoey Deutch","A provocative thriller about a very close-knit family that is torn apart as a new movement ""The Change"" envelops the country.",English,United States,N/A,N/A,N/A,N/A,N/A,tt12583926,movie,N/A,N/A,N/A,N/A,True,,,,62%,,,,
Anniversary,2021,N/A,26 Aug 2021,7 min,"Short, Horror",Craig Ouellette,Craig Ouellette,"David Crane, David T. Crane, Katie Peabody",N/A,English,United States,1 win,https://m.media-amazon.com/images/M/MV5BZjQ2YjVjZTUtMDEyMC00OGE2LWJkY2ItNzRjNjFlYTVlNmQ5XkEyXkFqcGdeQXVyMTA0ODQzMTg0._V1_SX300.jpg,N/A,N/A,N/A,tt14661372,movie,N/A,N/A,N/A,N/A,True,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,False,,,Incorrect IMDb ID.,,,,,
,,,,,,,,,,,,,,,,,,,,,,,False,,,Incorrect IMDb ID.,,,,,
Anniversary,1989,N/A,19 Jun 1989,12 min,"Short, Animation","Marc Aubry, Michel Hébert","Marc Aubry, Michel Hébert","Olivier Savoie-Mainguy, Jean-Guy Bouchard, Christiane Labelle","Commemorating NFB's 50th anniversary, computer-animated characters learn that originality is prudent to create a good film.",None,Canada,N/A,https://m.media-amazon.com/images/M/MV5BM2Q3NzgxODMtYmRhOS00OWM3LWJkNWYtMjg4ZWZjYzU0MjBkXkEyXkFqcGdeQXVyMTA2NzA1NDYz._V1_SX300.jpg,N/A,5.4,49,tt0224619,movie,N/A,N/A,N/A,N/A,True,5.4/10,,,,,,,
Anniversary,2018,N/A,10 Mar 2018,10 min,"Short, Drama",Mike Hermosa,Conrad Bishop,"Natasha Leron, Themo Melikidze",A sophisticated young couple celebrates their first wedding anniversary.,English,USA,N/A,https://m.media-amazon.com/images/M/MV5BNzY5NTJhYWYtZGYxMC00MGMwLWI4YTQtN2VlZTFiMGI1OWU1XkEyXkFqcGdeQXVyMjM0MzE1NDY@._V1_SX300.jpg,N/A,N/A,N/A,tt8032540,movie,N/A,N/A,N/A,N/A,True,,,,,,,,
Anniversary,2024,N/A,12 Aug 2024,20 min,"Short, Drama",Sushant Ghadge,Sushant Ghadge,Pratiksha Kote,"A wife spends their anniversary waiting for her husband to finish a call, as their troubled marriage faces challenges.",Malayalam,India,N/A,https://m.media-amazon.com/images/M/MV5BZDE4ZjhhOWYtMDA3ZS00YTRmLWE2OGMtMjk0NjcyMmFjZGIwXkEyXkFqcGc@._V1_SX300.jpg,N/A,N/A,N/A,tt33364918,movie,N/A,N/A,N/A,N/A,True,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,False,,,Incorrect IMDb ID.,,,,,
,,,,,,,,,,,,,,,,,,,,,,,False,,,Incorrect IMDb ID.,,,,,
Anniversary,1963,N/A,N/A,N/A,N/A,William Weintraub,N/A,"Walter Pidgeon, Marie Dressler, Walter Huston",N/A,English,Canada,N/A,N/A,N/A,6.0,6,tt0225080,movie,N/A,N/A,N/A,N/A,True,6.0/10,,,,,,,
Anniversary,2015,N/A,25 Dec 2015,N/A,Drama,Afe Olumowe,Afe Olumowe,"Harold Amenyah, Juliet Ibrahim, Ebube Nwagbo",N/A,English,Ghana,1 nomination,https://m.media-amazon.com/images/M/MV5BM2VkYjFhYTctNTNiMC00N2IxLTlhNTktYzViYmU5ZTMyY2MyXkEyXkFqcGdeQXVyNzc5NDg5Mjc@._V1_SX300.jpg,N/A,N/A,N/A,tt21812020,movie,N/A,N/A,N/A,N/A,True,,,,,,,,
Stitch Head,2025,PG,29 Oct 2025,89 min,"Animation, Comedy, Family",Steve Hudson,"Guy Bass, Steve Hudson","Asa Butterfield, Joel Fry, Alison Steadman","Follows Stitch Head, a small creature awoken by a Mad Professor in a castle to protect the professor's other creations from the townspeople of Grubbers Nubbin.",English,"United Kingdom, France, Germany, Luxembourg",2 nominations total,https://m.media-amazon.com/images/M/MV5BYWUwNWE1YjctMDYyOC00YmJjLWFkZTMtYzhjNmI3NTI4ZTMxXkEyXkFqcGc@._V1_SX300.jpg,N/A,6.1,182,tt26720001,movie,N/A,N/A,N/A,N/A,True,6.1/10,,,69%,,,,
Regretting You,2025,PG-13,24 Oct 2025,116 min,"Drama, Romance",Josh Boone,"Colleen Hoover, Susan McMartin","Allison Williams, Mckenna Grace, Dave Franco","A mother and daughter must grapple with what's left after a devastating accident reveals a shocking betrayal and forces them to confront family secrets, redefine love, and rediscover themselves.","English, French","Germany, United States",N/A,https://m.media-amazon.com/images/M/MV5BNTNlM2MzM2MtZGU3OC00ZTM0LWFhYmYtYTQ1M2RhZTcwYjViXkEyXkFqcGc@._V1_SX300.jpg,33,6.2,"5,602",tt33088452,movie,N/A,"$44,918,855",N/A,N/A,True,6.2/10,33/100,,30%,,,,
Last Days,2005,R,13 May 2005,97 min,"Drama, Music",Gus Van Sant,Gus Van Sant,"Michael Pitt, Lukas Haas, Asia Argento",A Seattle musician's life and career are reminiscent of those of Kurt Cobain.,English,United States,3 wins & 5 nominations,https://m.media-amazon.com/images/M/MV5BODk1OTUyZmYtNTQxYS00Y2FhLTliNmUtNTM2OTcwZjgzMzI0XkEyXkFqcGc@._V1_SX300.jpg,67,5.7,"24,082",tt0403217,movie,N/A,"$463,080",N/A,N/A,True,5.7/10,67/100,,58%,,,,
