Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response,Rating_InternetMovieDatabase,Rating_RottenTomatoes,Rating_Metacritic,Season,Episode,seriesID,Error
Men in Black,1934,Passed,28 Sep 1934,19 min,"Comedy, Short",Ray McCarey,Felix Adler,"Moe Howard, Larry Fine, Curly Howard",The stooges become doctors at a large hospital where they disrupt patients and staff alike.,English,United States,Nominated for 1 Oscar. 1 nomination total,https://m.media-amazon.com/images/M/MV5BMDYxODcwN2ItMjU2Yy00NDJhLTgzNTQtOGNhN2YyYmZkZWM5XkEyXkFqcGdeQXVyMDMxMjQwMw@@._V1_SX300.jpg,N/A,7.7,"1,446",tt0025488,movie,N/A,N/A,N/A,N/A,True,7.7/10,,,,,,
Men in Black,1997,PG-13,02 Jul 1997,98 min,"Action, Adventure, Comedy",Barry Sonnenfeld,"Lowell Cunningham, Ed Solomon","Tommy Lee Jones, Will Smith, Linda Fiorentino","James, an NYC cop, is hired by Agent K of a secret government agency that monitors extraterrestrial life on Earth. Together, they must recover an item that has been stolen by an intergalactic villain.","English, Spanish",United States,Won 1 Oscar. 23 wins & 39 nominations total,https://m.media-amazon.com/images/M/MV5BZmQ0YTdhYzEtMjIxZC00MGFiLTlmNjktZmFlOWE2M2QxOTRhXkEyXkFqcGc@._V1_SX300.jpg,72,7.3,"652,744",tt0119654,movie,N/A,"$250,690,539",N/A,N/A,True,7.3/10,91%,72/100,,,,
Face/Off,1997,R,27 Jun 1997,138 min,"Action, Crime, Sci-Fi",John Woo,"Mike Werb, Michael Colleary","John Travolta, Nicolas Cage, Joan Allen","To foil a terrorist plot, an FBI agent assumes the identity of the criminal who murdered his son via facial transplant surgery, but the crook wakes up prematurely and vows revenge.","English, Latin",United States,Nominated for 1 Oscar. 11 wins & 23 nominations total,https://m.media-amazon.com/images/M/MV5BOGQyOWNmYTgtZWY0NS00NzhjLTg3NmMtMzcwYzQ2OTA2OTJkXkEyXkFqcGc@._V1_SX300.jpg,82,7.3,"420,847",tt0119094,movie,N/A,"$112,276,146",N/A,N/A,True,7.3/10,93%,82/100,,,,
Head Above Water,2017,N/A,05 Oct 2017,11 min,"Short, Drama, Family",Eric Shahinian,"Maya Huang, Eric Shahinian","Anne-Marie Agbodji, Rose Hanish, Alecia Hurst",A devoted husband is forced to confront his doubts about remaining the caretaker of his wife suffering from Alzheimer's disease.,English,United States,7 wins & 3 nominations,https://m.media-amazon.com/images/M/MV5BZDgxYTU0MDMtNDczOC00YzY2LTgwM2MtM2E4Y2ZlMThkNjgyXkEyXkFqcGdeQXVyMjQ5MzUxMzA@._V1_SX300.jpg,N/A,7.9,18,tt5651188,movie,N/A,N/A,N/A,N/A,True,7.9/10,,,,,,
Head Above Water,1996,PG-13,25 Jun 1997,92 min,"Comedy, Thriller",Jim Wilson,"Eirik Ildahl, Geir Eriksen, Theresa Marie","Harvey Keitel, Cameron Diaz, Craig Sheffer","A prominent judge, his wife, her ex-lover, and their neighbor encounter a dead body that complicates their lives.",English,United States,1 win & 1 nomination total,https://m.media-amazon.com/images/M/MV5BZDU0MTY1MzAtYzUzOC00ZTdlLTg2NGYtODFmYjQyZDE2Y2YyXkEyXkFqcGc@._V1_SX300.jpg,N/A,6.0,"8,553",tt0116502,movie,03 Apr 2007,"$32,212",N/A,N/A,True,6.0/10,,,,,,
Head Above Water,2018,N/A,10 Feb 2018,54 min,Comedy,Connor Fairclough,Connor Fairclough,"Christopher Stollery, Indigo Felton, Nicolette Minster",A fictional documentary following the craziest rivalry in Australian surfing history.,English,Australia,N/A,https://m.media-amazon.com/images/M/MV5BYTNjN2Q0ZWMtZWIyNy00MzU2LWE1ZDQtODllNDg0NDU3NDQyXkEyXkFqcGc@._V1_SX300.jpg,N/A,6.1,57,tt4241778,movie,N/A,N/A,N/A,N/A,True,6.1/10,,,,,,
My Best Friend's Wedding,1997,PG-13,20 Jun 1997,105 min,"Comedy, Drama, Romance",P.J. Hogan,Ron Bass,"Julia Roberts, Dermot Mulroney, Cameron Diaz","When a woman's long-time friend reveals he's engaged, she realizes she loves him herself and sets out to get him, with only days before the wedding.","English, French, Italian",United States,Nominated for 1 Oscar. 12 wins & 24 nominations total,https://m.media-amazon.com/images/M/MV5BNzhlZjE4NTYtZDBlOC00NTAwLWFmMTQtMWVjNDQwZGI1MjViXkEyXkFqcGc@._V1_SX300.jpg,51,6.4,"162,542",tt0119738,movie,N/A,"$127,120,029",N/A,N/A,True,6.4/10,74%,51/100,,,,
Batman & Robin,1997,PG-13,20 Jun 1997,125 min,"Action, Sci-Fi",Joel Schumacher,"Bob Kane, Akiva Goldsman","Arnold Schwarzenegger, George Clooney, Chris O'Donnell",Batman and Robin try to keep their relationship together even as they must stop Mr. Freeze and Poison Ivy from freezing Gotham City.,English,"United States, United Kingdom",10 wins & 22 nominations total,https://m.media-amazon.com/images/M/MV5BYzU3ZjE3M2UtM2E4Ni00MDI5LTkyZGUtOTFkMGIyYjNjZGU3XkEyXkFqcGc@._V1_SX300.jpg,29,3.8,"278,703",tt0118688,movie,N/A,"$107,353,792",N/A,N/A,True,3.8/10,11%,29/100,,,,
Addicted to Love,1997,R,23 May 1997,100 min,"Comedy, Romance",Griffin Dunne,Robert Gordon,"Meg Ryan, Matthew Broderick, Kelly Preston","Maggie's and Sam's former partners are in love; she wants revenge and he wants his lost love back, so they work together to break up the happy couple.","English, French",United States,1 nomination,https://m.media-amazon.com/images/M/MV5BNjMwZjhiYTYtNjc5My00NTRhLTg0NWItMTk4MDJhNzcxNDRkXkEyXkFqcGc@._V1_SX300.jpg,49,6.1,"26,026",tt0118556,movie,N/A,"$34,673,095",N/A,N/A,True,6.1/10,53%,49/100,,,,
That Old Feeling,1997,PG-13,04 Apr 1997,105 min,"Comedy, Romance",Carl Reiner,Leslie Dixon,"Bette Midler, Dennis Farina, Paula Marshall",A bride's divorced parents find their old feelings for each other during the wedding reception and over the course of the next few days upsetting the newlywed's honeymoon.,English,United States,2 nominations total,https://m.media-amazon.com/images/M/MV5BNjg0ZTg5NTUtMWU4MC00MGYyLTlmODMtYmExMjBiYjJhNWIxXkEyXkFqcGc@._V1_SX300.jpg,N/A,6.1,"4,181",tt0120318,movie,N/A,"$16,574,176",N/A,N/A,True,6.1/10,38%,,,,,
