Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response,Rating_InternetMovieDatabase,Error,Rating_RottenTomatoes,Rating_Metacritic,Season,Episode,seriesID,totalSeasons
Last Christmas,2013,Not Rated,N/A,14 min,"Short, Drama, Fantasy",Uta Seibicke,"Uta Seibicke, Nicholas Tedeschi","Sabine Krause, Steffen Mennekes, Andreas Nickl","Christmas Eve in Berlin Two people in a taxi. A mysterious woman, a grumpy driver. An encounter. In the end, an end but also a beginning.",German,Germany,N/A,https://m.media-amazon.com/images/M/MV5BMDMzMjQ4MjEtZWZlOS00Y2VjLWI4NWItNjFjYmJiNjY4MTE3XkEyXkFqcGdeQXVyNTM3MDMyMDQ@._V1_SX300.jpg,N/A,N/A,N/A,tt3200946,movie,N/A,N/A,N/A,N/A,True,,,,,,,,
Last Christmas,2018,N/A,05 Nov 2018,6 min,"Short, Comedy",Oliver Kember,"Freddie Hall, Oliver Kember","Tim Downie, Daniel Ings, Poppy Polivnick","Steve is robbing houses on Christmas Eve, dressed as Santa. He comes face to face with his worst nightmare in Polly, a feisty 7 year old who finds Santa in her living room, taking her presents away...",English,United Kingdom,N/A,https://m.media-amazon.com/images/M/MV5BOWRlZWZlMjItMjFlOS00MTE0LWIxMjUtN2I4MWE1MjE4M2ZjXkEyXkFqcGdeQXVyMTkwNDQ1NzI@._V1_SX300.jpg,N/A,7.3,12,tt8490680,movie,N/A,N/A,N/A,N/A,True,7.3/10,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,False,,Incorrect IMDb ID.,,,,,,
Midway,2019,PG-13,08 Nov 2019,138 min,"Action, Drama, History",Roland Emmerich,Wes Tooke,"Ed Skrein, Patrick Wilson, Woody Harrelson","The story of the Battle of Midway, told by the leaders and the sailors who fought in it.","English, Japanese, Mandarin","United States, Canada, China, Hong Kong",1 nomination total,https://m.media-amazon.com/images/M/MV5BZDcyMGVlYzctZjYwNC00MDBiLTg1NDAtNzcxZjlhZTA4NzczXkEyXkFqcGc@._V1_SX300.jpg,47,6.7,"102,799",tt6924650,movie,N/A,"$56,846,802",N/A,N/A,True,6.7/10,,42%,47/100,,,,
Midway,2013,N/A,06 Sep 2013,85 min,"Documentary, Family","Sabine Emiliani, Chris Jordan",Sabine Emiliani,N/A,"Using spare narration and stunning imagery, Midway focuses on the plight of the Laysan Albatross plagued by the ingestion of our plastic trash. Both elegy and warning, the film explores the interconnectedness of species, with the ...",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BNzM4Y2M5YTUtYWE0My00YWViLTkwZGEtZDIzNzNiOTVkNTIxXkEyXkFqcGdeQXVyMDYxMTUwNg@@._V1_SX300.jpg,N/A,7.4,50,tt2428672,movie,N/A,N/A,N/A,N/A,True,7.4/10,,,,,,,
Midway,1976,PG,18 Jun 1976,132 min,"Action, Drama, History",Jack Smight,Donald S. Sanford,"Charlton Heston, Henry Fonda, James Coburn",A dramatization of the battle that was widely heralded as a turning point of the Pacific Theatre of World War II.,English,United States,N/A,https://m.media-amazon.com/images/M/MV5BZDQxOGRhNTYtMjk1ZS00YTM0LWJhZTktYzJlMjBjMDgxNjEwXkEyXkFqcGc@._V1_SX300.jpg,48,6.8,"22,567",tt0074899,movie,N/A,"$43,220,000",N/A,N/A,True,6.8/10,,39%,48/100,,,,
Playing with Fire,2008,R,19 Dec 2008,86 min,"Horror, Thriller",David DeCoteau,Matthew Jason Walsh,"Kelly Albanese, Susan Anton, Michael Bergin","Beautiful, seductive rich girl Daphne gets her kicks playing mind games; finding and seducing young working-class men until she cruelly kicks them to the curb. But when she comes across handsome med student Nick, she discovers a c...",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BMTU3NTM2NzUzMl5BMl5BanBnXkFtZTcwODExNTQwMg@@._V1_SX300.jpg,N/A,3.8,201,tt1207652,movie,N/A,N/A,N/A,N/A,True,3.8/10,,,,,,,
Playing with Fire,1926,N/A,01 Sep 1926,7 min,"Animation, Comedy, Short","Charles R. Bowers, Bud Fisher",Bud Fisher,N/A,"Mutt needs help putting out a fire, or does he?","None, English",United States,N/A,https://m.media-amazon.com/images/M/MV5BOWM2NmVlNjAtMThiNi00NmFlLWE2MzItYTcxYWEzOTE0MTJlXkEyXkFqcGc@._V1_SX300.jpg,N/A,6.2,37,tt0017269,movie,N/A,N/A,N/A,N/A,True,6.2/10,,,,,,,
Playing with Fire,1985,TV-PG,14 Apr 1985,100 min,"Crime, Drama",Ivan Nagy,Lew Hunter,"Gary Coleman, Cicely Tyson, Ron O'Neal","Made-for-TV film starring a not-so-young Gary Coleman as a teenage arsonist. The authorities, friends, and neighbors warn his absentee parents until it is too late.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BMjgxMGNmMDUtNjI1ZS00YWY4LTkxYTAtMDJiNjYxNDQzY2VhXkEyXkFqcGc@._V1_SX300.jpg,N/A,6.3,91,tt0089815,movie,N/A,N/A,N/A,N/A,True,6.3/10,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,False,,Incorrect IMDb ID.,,,,,,
