Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response,Error,Rating_InternetMovieDatabase,Rating_RottenTomatoes,Rating_Metacritic,totalSeasons,Season,Episode,seriesID
Home,2024,N/A,28 Dec 2024,N/A,"Animation, Short",N/A,N/A,N/A,"In a town besieged by rolling airstrikes, a lonely grandmother discovers the will to survive after an orphan boy sneaks into her home for safety. Their time together reveals a connection between two lost souls.",N/A,United States,N/A,https://m.media-amazon.com/images/M/MV5BZWJiYzdhNWItNjAyMy00NWNkLTk2NzEtNjg1Y2IwY2NkNDAxXkEyXkFqcGc@._V1_SX300.jpg,N/A,N/A,N/A,tt22023166,movie,N/A,N/A,N/A,N/A,True,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,False,Incorrect IMDb ID.,,,,,,,
Home,2013,N/A,N/A,N/A,"Animation, Short",Arjun Chatterjee,Arjun Chatterjee,"Laura-Ann Chambers, Yanqiu Fei, Brett Rogstad",Three birds set out to find a new place to live once their old home is destroyed. But will this new home accept them?,English,Singapore,N/A,N/A,N/A,N/A,N/A,tt3905848,movie,N/A,N/A,N/A,N/A,True,,,,,,,,
Home,2020,N/A,03 Dec 2021,100 min,Drama,Franka Potente,Franka Potente,"Jake McLaughlin, Kathy Bates, Aisling Franciosi",An ex-felon returns home from prison and must confront the demons of his past.,"English, German","Germany, Netherlands, France, United States",3 nominations,https://m.media-amazon.com/images/M/MV5BNDU2NGM1ZTMtOGQ3Yy00OTg3LWJiOTEtNDE0NGZiZTNkOGZmXkEyXkFqcGc@._V1_SX300.jpg,N/A,6.4,793,tt10353704,movie,N/A,N/A,N/A,N/A,True,,6.4/10,71%,,,,,
,,,,,,,,,,,,,,,,,,,,,,,False,Incorrect IMDb ID.,,,,,,,
Home,2018,N/A,12 Jan 2019,8 min,"Documentary, Short",Inuk Jørgensen,Inuk Jørgensen,N/A,"This short documentary centers on climate change in southern Greenland, told from a personal yet historical stand point.",English,"Greenland, Sweden",9 wins & 6 nominations,https://m.media-amazon.com/images/M/MV5BZjQwOWFmNjgtMjhiNi00MTY4LWI0ZGMtYzNhOGY0ZDA2MjBkXkEyXkFqcGdeQXVyOTY4NjkyMTM@._V1_SX300.jpg,N/A,N/A,10,tt9496314,movie,N/A,N/A,N/A,N/A,True,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,False,Incorrect IMDb ID.,,,,,,,
Home,1919,N/A,31 Aug 1919,60 min,Drama,Lois Weber,Lois Weber,"Mildred Harris, Frank Elliott, John Cossar","Envious of the wealth of her classmates at the fashionable boarding school to which her parents struggled to send her, Millicent Rankin hides the fact that her father is a plumber. She invites her friend Beatrice Deering to her ho...","None, English",United States,N/A,https://m.media-amazon.com/images/M/MV5BOTMzNTU0Y2MtMWE0NS00Y2E5LWFiNjUtZDA5YmM4MTU3MDBhXkEyXkFqcGdeQXVyMzg1ODEwNQ@@._V1_SX300.jpg,N/A,N/A,N/A,tt0010261,movie,N/A,N/A,N/A,N/A,True,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,False,Incorrect IMDb ID.,,,,,,,
Home,1998,N/A,N/A,11 min,"Short, Drama",Morag McKinnon,Colin McLaren,"Russell Anderson, Malcolm Shields, Eddie Mearns",A local council worker inspects three homes.,English,United Kingdom,Won 1 BAFTA Award6 wins & 1 nomination total,https://m.media-amazon.com/images/M/MV5BYjkwNDgwMjAtNjcwMC00NTQxLWFjOTEtNzhhMjk1Y2MzZmMxXkEyXkFqcGdeQXVyMDM0MzU2NA@@._V1_SX300.jpg,N/A,6.8,358,tt0200716,movie,N/A,N/A,N/A,N/A,True,,6.8/10,,,,,,
