Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response,Rating_InternetMovieDatabase,Rating_RottenTomatoes,Rating_Metacritic,Error,Season,Episode,seriesID
44 Inch Chest,2009,R,15 Jan 2010,95 min,"Crime, Drama",Malcolm Venville,"Louis Mellis, David Scinto","Ray Winstone, Ian McShane, John Hurt",A jealous husband and his friends plot the kidnapping of his wife's lover with the intention of restoring his wounded ego.,English,United Kingdom,2 wins & 2 nominations total,https://m.media-amazon.com/images/M/MV5BNTZmZWIyNTQtNzk1OS00OWQzLTkzNTYtODJlYmUxMDE2MjY5XkEyXkFqcGc@._V1_SX300.jpg,47,5.8,"7,227",tt0914837,movie,N/A,"$39,033",N/A,N/A,True,5.8/10,40%,47/100,,,,
Fish Tank,2009,Not Rated,11 Sep 2009,123 min,Drama,Andrea Arnold,Andrea Arnold,"Katie Jarvis, Michael Fassbender, Kierston Wareing",Everything changes for 15-year-old Mia when her mum brings home a new boyfriend.,English,"United Kingdom, Netherlands",Won 1 BAFTA Award21 wins & 30 nominations total,https://m.media-amazon.com/images/M/MV5BMTc1NTk4MzkxOF5BMl5BanBnXkFtZTcwNDkxMDAxMw@@._V1_SX300.jpg,81,7.3,"66,165",tt1232776,movie,N/A,"$374,675",N/A,N/A,True,7.3/10,91%,81/100,,,,
The Spy Next Door,2010,PG,15 Jan 2010,94 min,"Action, Comedy, Family",Brian Levant,"Jonathan Bernstein, James Greer, Gregory Poirier","Jackie Chan, Amber Valletta, Billy Ray Cyrus","Former C.I.A. spy Bob Ho takes on his toughest assignment to date: looking after his girlfriend's three kids, but things take a turn when a russian terrorist takes aim at the family","English, Chinese, Russian",United States,2 nominations total,https://m.media-amazon.com/images/M/MV5BMTI5MjEzMjM4N15BMl5BanBnXkFtZTcwODc0ODEwMw@@._V1_SX300.jpg,27,5.5,"48,910",tt1273678,movie,N/A,"$24,307,086",N/A,N/A,True,5.5/10,12%,27/100,,,,
The Book of Eli,2010,R,15 Jan 2010,118 min,"Action, Adventure, Drama","Albert Hughes, Allen Hughes",Gary Whitta,"Denzel Washington, Mila Kunis, Ray Stevenson","A drifter fights his way across a ravaged, post-apocalyptic America while protecting a sacred book that holds the secrets to humanity's salvation.",English,United States,3 wins & 16 nominations total,https://m.media-amazon.com/images/M/MV5BZjk4N2U2YTAtNWEzZC00N2VmLTlkNDctMjg5YjI4OTExZTFhXkEyXkFqcGc@._V1_SX300.jpg,53,6.8,"354,627",tt1037705,movie,N/A,"$94,835,059",N/A,N/A,True,6.8/10,46%,53/100,,,,
The Last Station,2009,R,26 Feb 2010,112 min,"Biography, Drama, Romance",Michael Hoffman,"Michael Hoffman, Jay Parini","Helen Mirren, James McAvoy, Christopher Plummer",A historical drama that illustrates Russian author Leo Tolstoy's (Christopher Plummer's) struggle to balance fame and wealth with his commitment to a life devoid of material things.,English,"Germany, United Kingdom, Russia",Nominated for 2 Oscars. 5 wins & 18 nominations total,https://m.media-amazon.com/images/M/MV5BMTA4MTAzNTQzMDNeQTJeQWpwZ15BbWU3MDgzNTg2MDM@._V1_SX300.jpg,76,6.9,"19,435",tt0824758,movie,N/A,"$6,617,867",N/A,N/A,True,6.9/10,70%,76/100,,,,
Daybreakers,2009,R,08 Jan 2010,98 min,"Action, Horror, Sci-Fi","Michael Spierig, Peter Spierig","Michael Spierig, Peter Spierig","Ethan Hawke, Willem Dafoe, Sam Neill","In the year 2019, a plague has transformed almost every human into vampires. Faced with a dwindling blood supply, the fractured dominant race plots their survival; meanwhile, a researcher works with a covert band of vamps on a way...",English,"Australia, United States",3 wins & 6 nominations total,https://m.media-amazon.com/images/M/MV5BNzg3NDYyMDU4Nl5BMl5BanBnXkFtZTcwODA5NzA5Mg@@._V1_SX300.jpg,57,6.4,"138,934",tt0433362,movie,N/A,"$30,101,577",N/A,N/A,True,6.4/10,69%,57/100,,,,
Crazy on the Outside,2010,PG-13,08 Jan 2010,96 min,"Comedy, Crime",Tim Allen,"Judd Pillot, John Peaslee","Tim Allen, Sigourney Weaver, Jeanne Tripplehorn",A recently paroled ex-con who has trouble adjusting to the wacky normalcy of life outside of prison. He has spent the last three years behind bars after getting caught committing a crime and taking the rap for his much more danger...,"English, French, Cantonese",United States,N/A,https://m.media-amazon.com/images/M/MV5BMTgzMjgzNjcyNF5BMl5BanBnXkFtZTcwNjQ0OTEwMw@@._V1_SX300.jpg,21,5.5,"7,139",tt1196134,movie,N/A,"$88,335",N/A,N/A,True,5.5/10,8%,21/100,,,,
Waiting for Armageddon,2009,Not Rated,28 Jan 2009,74 min,Documentary,"Kate Davis, David Heilbroner, Franco Sacchi",N/A,"Gary Bauer, Chip Berlet, George W. Bush",America's 50-million strong Evangelical community is convinced that the world's future is foretold in Biblical prophecy - from the Rapture to the Battle of Armageddon. This astonishing documentary explores their world - in their h...,English,United States,N/A,https://m.media-amazon.com/images/M/MV5BMTkzMzIwNTAzNF5BMl5BanBnXkFtZTcwMTk5ODAxMw@@._V1_SX300.jpg,66,6.3,394,tt1372746,movie,N/A,"$10,501",N/A,N/A,True,6.3/10,80%,66/100,,,,
Bitch Slap,2009,R,06 Nov 2009,109 min,"Action, Comedy, Crime",Rick Jacobson,"Rick Jacobson, Eric Gruendemann","Julia Voth, Erin Cummings, America Olivo",Three bad girls travel to a remote desert hideaway to steal $200 million in diamonds from a ruthless underworld kingpin.,English,United States,N/A,https://m.media-amazon.com/images/M/MV5BMTk0OTAzOTY2NF5BMl5BanBnXkFtZTcwMzcwMzM4MQ@@._V1_SX300.jpg,19,4.5,"14,359",tt1212974,movie,N/A,"$17,365",N/A,N/A,True,4.5/10,33%,19/100,,,,
Wonderful World,2009,R,27 Apr 2009,89 min,"Comedy, Drama, Romance",Joshua Goldin,Joshua Goldin,"Matthew Broderick, Sanaa Lathan, Michael Kenneth Williams","Ben Singer has his cynical worldview darkened by his roommate Ibu's sudden medical situation, though the arrival of Ibu's sister, Khadi, might remedy both men's ills.","English, Wolof","United States, Germany",N/A,https://m.media-amazon.com/images/M/MV5BMTkyMjE5NDkzM15BMl5BanBnXkFtZTcwMDkwNjQwMw@@._V1_SX300.jpg,48,6.0,"2,524",tt0857275,movie,N/A,"$9,309",N/A,N/A,True,6.0/10,42%,48/100,,,,
