Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response,Rating_InternetMovieDatabase,Rating_RottenTomatoes,Rating_Metacritic,Error,Season,Episode,seriesID,totalSeasons
I Know Who Killed Me,2007,R,27 Jul 2007,105 min,"Horror, Mystery, Thriller",Chris Sivertson,Jeff Hammond,"Lindsay Lohan, Julia Ormond, Neal McDonough","A young woman who was missing reappears, but she claims to be someone else entirely.",English,United States,8 wins & 4 nominations total,https://m.media-amazon.com/images/M/MV5BNGFlOTlmZTAtMzlmMy00NTNkLWJkNTYtMzgxZjA0MDFmY2FmXkEyXkFqcGc@._V1_SX300.jpg,16,3.6,"31,404",tt0897361,movie,N/A,"$7,498,716",N/A,N/A,True,3.6/10,9%,16/100,,,,,
Who's Your Caddy?,2007,PG-13,27 Jul 2007,93 min,"Comedy, Sport",Don Michael Paul,"Don Michael Paul, Bradley Allenstein, Robert Henny","Big Boi, Jeffrey Jones, Terry Crews",When a rap mogul from Atlanta tries to join a conservative country club in the Carolinas he runs into fierce opposition from the board President- but it's nothing that he and his entourage can't handle.,English,United States,1 win & 1 nomination,https://m.media-amazon.com/images/M/MV5BMTY1MDQwMTYxNF5BMl5BanBnXkFtZTcwMTAwOTM1MQ@@._V1_SX300.jpg,18,2.3,"15,638",tt0785077,movie,N/A,"$5,713,425",N/A,N/A,True,2.3/10,6%,18/100,,,,,
This Is England,1941,N/A,N/A,10 min,"Documentary, Short",Humphrey Jennings,N/A,N/A,A short documentary about life in England during wartime. Narrated by Edward R. Murrow.,English,United Kingdom,N/A,https://m.media-amazon.com/images/M/MV5BYWU0MTNiOWEtMGM2NS00ZmVjLTgyNWItYjBhMTNmNzM0ODhlXkEyXkFqcGdeQXVyMjU3NTE0NDc@._V1_SX300.jpg,N/A,7.3,71,tt0153033,movie,N/A,N/A,N/A,N/A,True,7.3/10,,,,,,,
The Call of Wild,2006,G,17 Aug 2007,90 min,"Documentary, Family","Adam Ravetch, Sarah Robertson","Linda Woolverton, Mose Richards, Kristin Gore","Queen Latifah, Katrina Agate, Zain Ali","Two narratives -- the life cycle of a mother walrus and her calf, and the life of a polar bear and her cubs -- are used to illustrate the harsh realities of existence in the Arctic.",English,United States,1 win & 1 nomination,https://m.media-amazon.com/images/M/MV5BMTQ5MzM5NzM3OV5BMl5BanBnXkFtZTcwMTIxNTk0MQ@@._V1_SX300.jpg,64,6.9,"1,953",tt0488508,movie,N/A,"$833,532",N/A,N/A,True,6.9/10,60%,64/100,,,,,
This Is England,2006,Not Rated,27 Apr 2007,101 min,"Crime, Drama",Shane Meadows,Shane Meadows,"Thomas Turgoose, Stephen Graham, Jo Hartley","A young boy becomes friends with a gang of skinheads. Friends soon become like family, and relationships will be pushed to the very limit.",English,United Kingdom,Won 1 BAFTA Award14 wins & 16 nominations total,https://m.media-amazon.com/images/M/MV5BNWJmYzE4OTUtNDNjYy00NGQwLTlhMDYtMzliNjViZWNjNmViXkEyXkFqcGc@._V1_SX300.jpg,86,7.7,"133,679",tt0480025,movie,N/A,"$329,379",N/A,N/A,True,7.7/10,93%,86/100,,,,,
Goya's Ghosts,2006,R,10 Nov 2006,113 min,"Biography, Drama, History",Milos Forman,"Milos Forman, Jean-Claude Carrière","Javier Bardem, Natalie Portman, Stellan Skarsgård","Painter Francisco Goya faces a scandal involving his muse, who is labeled a heretic by a monk.",English,"Spain, United States",2 wins & 5 nominations total,https://m.media-amazon.com/images/M/MV5BOTY4YmI0ZmEtNWY5NS00NzM1LTk4N2ItZGQwN2EwYjFkOGY5XkEyXkFqcGc@._V1_SX300.jpg,52,6.9,"32,274",tt0455957,movie,N/A,"$1,000,626",N/A,N/A,True,6.9/10,30%,52/100,,,,,
David & Layla,2005,R,15 Feb 2012,106 min,"Comedy, Drama, Romance",J.J. Alani,J.J. Alani,"David Moscow, Shiva Rose, Peter Van Wagner",Sparks fly when a Jew and a Muslim fall in love in New York.,English,United States,6 wins,https://m.media-amazon.com/images/M/MV5BMTk5ODI5NjQ4MF5BMl5BanBnXkFtZTcwMDUyMTU1MQ@@._V1_SX300.jpg,N/A,5.5,892,tt0424025,movie,N/A,"$120,750",N/A,N/A,True,5.5/10,53%,,,,,,
Captivity,2007,R,13 Jul 2007,85 min,"Crime, Horror, Mystery",Roland Joffé,"Larry Cohen, Joseph Tura","Elisha Cuthbert, Daniel Gillies, Pruitt Taylor Vince","A man and a woman awaken to find themselves trapped in a cellar. As their kidnapper drives them mad, the truth about their horrific abduction is revealed.",English,"United States, Russia",1 win & 4 nominations total,https://m.media-amazon.com/images/M/MV5BMTkzMjc3MTEzN15BMl5BanBnXkFtZTcwMzYzNjA1MQ@@._V1_SX300.jpg,24,4.6,"24,110",tt0374563,movie,N/A,"$2,626,800",N/A,N/A,True,4.6/10,9%,24/100,,,,,
Interview,2007,R,10 May 2007,84 min,Drama,Steve Buscemi,"David Schechter, Theo van Gogh, Theodor Holman","Sienna Miller, Steve Buscemi, Michael Buscemi","After falling out with his editor, a fading political journalist is forced to interview America's most popular soap actress.",English,"United States, Canada, Netherlands",1 win & 3 nominations total,https://m.media-amazon.com/images/M/MV5BMTM1ZjQyZGQtYzNkNS00ZmVmLWI4YTItM2FhOWExMjU2MzIxXkEyXkFqcGc@._V1_SX300.jpg,64,6.8,"14,080",tt0480269,movie,N/A,"$416,951",N/A,N/A,True,6.8/10,58%,64/100,,,,,
,,,,,,,,,,,,,,,,,,,,,,,False,,,,Incorrect IMDb ID.,,,,
