Response,Error,Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Rating_InternetMovieDatabase,Rating_RottenTomatoes,Rating_Metacritic,Season,Episode,seriesID,totalSeasons
False,Incorrect IMDb ID.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
True,,15 Minutes,2001,R,09 Mar 2001,120 min,"Action, Crime, Drama",John Herzfeld,John Herzfeld,"Robert De Niro, Edward Burns, Kelsey Grammer",A homicide detective and a fire marshal must stop a pair of murderers who commit videotaped crimes to become media darlings.,"English, Czech, Russian, Greek, Afrikaans","United States, Germany",1 nomination total,https://m.media-amazon.com/images/M/MV5BOTg5MDc1N2YtYWYxOS00ZGU4LTgyOWUtNjM5ZDkzZjg0YjdlXkEyXkFqcGc@._V1_SX300.jpg,34,6.1,"53,088",tt0179626,movie,N/A,"$24,403,552",N/A,N/A,6.1/10,32%,34/100,,,,
True,,15 Minutes,2014,N/A,N/A,15 min,"Short, Comedy, Drama",Neil Huber,Desmond Sargeant,"Ennis Esmer, Siobhan Murphy","While on their way to sign divorce papers that will finalize the end of their marriage, car trouble leaves Jill and Aiden stranded in the middle of a parking lot. With a fifteen minute wait until roadside assistance arrives, Jill ...",English,Canada,N/A,https://m.media-amazon.com/images/M/MV5BMzA5ODE1NDI5OF5BMl5BanBnXkFtZTgwNjI4NTg2MjE@._V1_SX300.jpg,N/A,N/A,N/A,tt3889104,movie,N/A,N/A,N/A,N/A,,,,,,,
True,,Carman: The Champion,2001,PG-13,02 Mar 2001,82 min,"Action, Drama, Sport",Lee Stanley,"Carman, Lee Stanley, Tony Cinciripini","Carman, Michael Nouri, Patricia Manterola","Carman must enter the boxing ring once again. Even though the doctor has advised him against it, he picks up his gloves for one last fight, for his father, for his church, for his love, and for his life.","English, Italian",United States,N/A,https://m.media-amazon.com/images/M/MV5BMTQ4MTYwODkxOV5BMl5BanBnXkFtZTgwMTQ3ODU3MDI@._V1_SX300.jpg,N/A,5.3,852,tt0262462,movie,N/A,"$1,765,751",N/A,N/A,5.3/10,11%,,,,,
True,,See Spot Run,2001,PG,02 Mar 2001,94 min,"Action, Comedy, Crime",John Whitesell,"George Gallo, Gregory Poirier, Dan Baron","David Arquette, Michael Clarke Duncan, Leslie Bibb","A mailman takes care of a dog that, unbeknownst to him, is an FBI drug-sniffing superdog that has escaped from the witness protection program after becoming the target of an assassination.","English, American Sign ","United States, Australia, Canada",1 nomination,https://m.media-amazon.com/images/M/MV5BMTIwNjg4MTk1NF5BMl5BanBnXkFtZTYwMjE4Nzc5._V1_SX300.jpg,24,5.4,"9,869",tt0250720,movie,N/A,"$33,357,476",N/A,N/A,5.4/10,24%,24/100,,,,
True,,Monkeybone,2001,PG-13,23 Feb 2001,93 min,"Comedy, Fantasy",Henry Selick,"Kaja Blackley, Sam Hamm","Brendan Fraser, Bridget Fonda, John Turturro","In a coma, a cartoonist finds himself trapped within his own underground creation and must find a way to get back, while racing against his popular but treacherous character, Monkeybone.",English,United States,3 nominations,https://m.media-amazon.com/images/M/MV5BOTRiODVhNjktNzVkOC00OWY3LThhOWEtNjE0Y2I0YWNhMDc3XkEyXkFqcGc@._V1_SX300.jpg,40,4.8,"19,482",tt0166276,movie,N/A,"$5,411,999",N/A,N/A,4.8/10,21%,40/100,,,,
True,,3000 Miles to Graceland,2001,R,23 Feb 2001,125 min,"Action, Comedy, Crime",Demian Lichtenstein,"Richard Recco, Demian Lichtenstein, Kevin Bernhardt","Kurt Russell, Kevin Costner, Courteney Cox",A gang of ex-cons rob a casino during Elvis convention week.,English,"United States, Canada",13 nominations total,https://m.media-amazon.com/images/M/MV5BMTExMDA0NDAyOTReQTJeQWpwZ15BbWU2MDM4ODg3OQ@@._V1_SX300.jpg,21,6.0,"50,389",tt0233142,movie,N/A,"$15,749,959",N/A,N/A,6.0/10,15%,21/100,,,,
True,,Sweet November,1968,Approved,08 Feb 1968,114 min,"Comedy, Drama, Romance",Robert Ellis Miller,Herman Raucher,"Sandy Dennis, Anthony Newley, Theodore Bikel","A woman lures emotionally crippled men into affairs, then helps them repair their lives.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BMzk2YzhhZDQtY2M1MS00MDQ0LThlOGUtZWY1YjdmMjAyOGFmXkEyXkFqcGc@._V1_SX300.jpg,N/A,6.8,"1,364",tt0063661,movie,N/A,"$2,180,000",N/A,N/A,6.8/10,,,,,,
True,,Sweet November,2001,PG-13,16 Feb 2001,119 min,"Drama, Romance",Pat O'Connor,"Herman Raucher, Paul Yurick, Kurt Voelker","Keanu Reeves, Charlize Theron, Jason Isaacs","A workaholic executive, and an unconventional woman agree to a personal relationship for a short period. In this short period she changes his life.",English,United States,3 nominations total,https://m.media-amazon.com/images/M/MV5BY2QyYWU1Y2EtZmU2Yi00NzMxLTllODUtYTU2NjM4MWQwYzJiXkEyXkFqcGc@._V1_SX300.jpg,27,6.7,"96,869",tt0230838,movie,N/A,"$25,288,103",N/A,N/A,6.7/10,15%,27/100,,,,
True,,Down to Earth,2020,N/A,N/A,10 min,"Short, Adventure, Comedy",Nick Crowhurst,Stephanie Jaclyn,"Liam Daughtry, Sebastien Skubala, Kiki Nicholls","Three young misfits venture into the Australian outback to find what they believe is a meteorite that has crash landed near their country town, only to discover it's something far more mysterious.",English,Australia,1 win & 2 nominations total,https://m.media-amazon.com/images/M/MV5BM2VkNmFkYjQtYmQ3ZC00MzIzLWI2NGYtYjcwOWQwNmUwZTk1XkEyXkFqcGc@._V1_SX300.jpg,N/A,N/A,71,tt9214550,movie,N/A,N/A,N/A,N/A,,,,,,,
