movie_id,day,demand
978,Mon,1.352
978,Tue,1.352
978,Wed,1.521
978,Thu,1.691
978,Fri,2.198
978,Sat,2.705
978,Sun,2.705
3664,Mon,0.049
3664,Tue,0.049
3664,Wed,0.055
3664,Thu,0.062
3664,Fri,0.08
3664,Sat,0.099
3664,Sun,0.099
3488,Mon,0.611
3488,Tue,0.611
3488,Wed,0.688
3488,Thu,0.764
3488,Fri,0.994
3488,Sat,1.223
3488,Sun,1.223
2464,Mon,20.778
2464,Tue,20.778
2464,Wed,23.375
2464,Thu,25.973
2464,Fri,33.765
2464,Sat,41.556
2464,Sun,41.556
2876,Mon,0.015
2876,Tue,0.015
2876,Wed,0.017
2876,Thu,0.019
2876,Fri,0.025
2876,Sat,0.03
2876,Sun,0.03
2486,Mon,0.008
2486,Tue,0.008
2486,Wed,0.01
2486,Thu,0.011
2486,Fri,0.014
2486,Sat,0.017
2486,Sun,0.017
2799,Mon,0.024
2799,Tue,0.024
2799,Wed,0.027
2799,Thu,0.03
2799,Fri,0.039
2799,Sat,0.048
2799,Sun,0.048
1793,Mon,0.097
1793,Tue,0.097
1793,Wed,0.109
1793,Thu,0.122
1793,Fri,0.158
1793,Sat,0.195
1793,Sun,0.195
2552,Mon,0.009
2552,Tue,0.009
2552,Wed,0.011
2552,Thu,0.012
2552,Fri,0.016
2552,Sat,0.019
2552,Sun,0.019
471,Mon,0.005
471,Tue,0.005
471,Wed,0.006
471,Thu,0.007
471,Fri,0.009
471,Sat,0.011
471,Sun,0.011
3903,Mon,0.015
3903,Tue,0.015
3903,Wed,0.017
3903,Thu,0.019
3903,Fri,0.024
3903,Sat,0.03
3903,Sun,0.03
1751,Mon,0.034
1751,Tue,0.034
1751,Wed,0.038
1751,Thu,0.042
1751,Fri,0.055
1751,Sat,0.068
1751,Sun,0.068
266,Mon,0.021
266,Tue,0.021
266,Wed,0.023
266,Thu,0.026
266,Fri,0.034
266,Sat,0.042
266,Sun,0.042
2686,Mon,0.008
2686,Tue,0.008
2686,Wed,0.009
2686,Thu,0.01
2686,Fri,0.013
2686,Sat,0.016
2686,Sun,0.016
1292,Mon,0.003
1292,Tue,0.003
1292,Wed,0.004
1292,Thu,0.004
1292,Fri,0.006
1292,Sat,0.007
1292,Sun,0.007
