elasticity,ticket_price,revenue,tickets,avg_genres
1.5,8.0,112195.14716039927,14024.393395049905,19.0
1.5,8.5,108845.28057036317,12805.327125925076,19.0
1.5,9.0,105778.59916445462,11753.1776849394,19.0
1.5,9.5,102957.32809007466,10837.613483165753,19.0
1.5,10.0,100350.39031849815,10035.039031849808,19.0
1.5,10.5,97931.9532322361,9326.852688784387,19.0
1.5,11.0,95680.34298488099,8698.212998625548,19.0
1.5,11.5,93577.22148079176,8137.149693981887,19.0
1.5,12.0,91606.95405314903,7633.912837762421,19.0
1.5,12.5,89756.11772831944,7180.489418265552,19.0
1.5,13.0,88013.11456942915,6770.2395822637845,19.0
1.5,13.5,86367.86455310158,6397.619596526043,19.0
1.5,14.0,84811.55934134599,6057.968524381858,19.0
1.5,14.5,83336.46317509779,5747.342287937776,19.0
1.5,15.0,81935.75058981647,5462.383372654431,19.0
1.5,15.5,80603.37316672786,5200.217623659862,19.0
1.5,16.0,79333.94937334092,4958.371835833808,19.0
1.5,16.5,78122.67290914746,4734.7074490392415,19.0
1.5,17.0,76965.2359914562,4527.366823026832,19.0
1.5,17.5,75857.76478600282,4334.729416343017,19.0
